id	filename	md5	size	state
a75755d9-b374-411d-9d86-7912d5aef879	C239.TCGA-13-1403-01A-01W.3_gdc_realn.bam	a3fba914b0845e49371bb8a309dab8a1	17407759407	released
262ffb16-c5fb-475d-829c-a9bd50b49f81	C239.TCGA-57-1993-01A-01W-0699-08.5_gdc_realn.bam	a5c25c12bc75d358502f6c8b10ea03e6	34745061881	released
f6de1825-1dc2-4e3c-bbb4-63e02e9299d8	C239.TCGA-13-1485-10A-01D.5_gdc_realn.bam	68bed463912332a191367941e9a8a1ab	19094039781	released
2e009edb-8e2f-4a7a-9287-4e897f3b1aa5	C239.TCGA-23-1118-01A-01W.2_gdc_realn.bam	4216921ea18b9a5cdf898b1341cb498a	18644502943	released
38bb9664-557a-4f2d-a73c-485e217ff079	C239.TCGA-61-2016-10A-01W-0722-08.2_gdc_realn.bam	48fa2f6851375aa73bf4b5eebaae715b	29356739409	released
e0f0cfc7-795c-4846-9cf7-3102edd49ec8	9f77a06e061b10c5ef45bec8b7c09ae7_gdc_realn.bam	c82f7cacc2f87773721f2ca876c3cf8b	23846518193	released
c731faad-a1d6-4116-b41b-8ad5f4f56900	C239.TCGA-23-1110-10A-01D.2_gdc_realn.bam	e00c4121dbd9e0d8bbbd6ae5386260cc	22464154191	released
eaf7dd92-038c-4fd0-a8b8-548f85a9fb62	a971dd8fd578796bb405e084d2cdcc95_gdc_realn.bam	b5fdd8806f71f628e953c6f0297a068f	35632885593	released
51f22dcc-7fd0-4f0d-8619-f21aebb6be41	71891492111e49e30df8f4bf7d2bb63c_gdc_realn.bam	ceddf37e948470a207fce2a802e3a140	25512299553	released
89252ead-5088-4421-a873-53053a1803a5	C239.TCGA-20-0991-01A-03D.2_gdc_realn.bam	0dceec03b837873f1c520c9d347fd5bd	21637767547	released
1ae78a0c-5f65-4a65-83e8-de44dffda69c	C239.TCGA-25-2391-01A-01W-0799-08.2_gdc_realn.bam	62a713a00fb2b61f509ef3b1ea546f79	19087876616	released
eb9eaca5-5632-43bb-9da4-184ff6a40519	e528602acbcfdbcd37040af535b4008f_gdc_realn.bam	752501c6569085d9a73c25c0be3d3cba	26666795454	released
4e0a40ab-1d66-4ae4-97c1-cc92fffefa0c	C239.TCGA-30-1891-01A-01W-0699-08.3_gdc_realn.bam	8382d19e02e0c76158a17ce468dee30d	22041446758	released
02cf56d3-868f-437f-83d1-01ea36813dd5	C239.TCGA-13-1487-01A-01D.2_gdc_realn.bam	c16355b8c3007ae328ab2f50273a2a1f	18965723529	released
0ba342e7-52d4-4632-862b-fa2799fb4324	6a75434428a29866cc39a2d255910eb6_gdc_realn.bam	4a14ec1405a457b86515ddacaa3115c3	24580781557	released
3bb8cbcb-162e-4a14-b686-5be200d041cc	03becbafd3b61d967e350c5b252fd135_gdc_realn.bam	f9d92292e1308461ca93512f5ceebc69	23865957430	released
ef7fa171-7247-4a96-b673-08c8aa9088c6	4a334adcfc4e28eb8222f4c439d75008_gdc_realn.bam	14eea2184cc7b0ee7302323623ccc293	24991771498	released
0f759635-9620-4e9b-8254-129db42c9473	C239.TCGA-61-2096-01A-01W-0722-08.3_gdc_realn.bam	f67e36b7122cd8a11d7e4b8e7661e341	21978173124	released
b3b81cbc-6aeb-4cea-b294-c872eea10ea8	d59ab5c3c3d1bb8e6d10299102e47d3f_gdc_realn.bam	a59fbb410c1e361ebac8dc63d41272a7	20965778988	released
72885373-2a3d-4acd-b54f-4a735e87ab9b	c22e135ff14a7375a41e6417145d7257_gdc_realn.bam	d1236e595b067728f01f23ec3a02fca8	19989979582	released
7d9e1827-c123-40b9-a6db-5fb8cf7b25fc	2ad623ca04aa7615ed8376b5b9b391d0_gdc_realn.bam	9efa1b9016fca288c943c32111ce9f99	22170156727	released
1a74f399-45e4-4f6a-830c-843e70477b56	C239.TCGA-61-2009-01A-01W-0722-08.5_gdc_realn.bam	06523f6a88b7c3dd2f2b23afbf4a7e49	39116270680	released
811c799c-7f83-4d2d-94cc-cc8e1052603a	4a8b12dc7bf5938cf4f9cefbc0e0cb3b_gdc_realn.bam	bf647c8095c225515444f7e014d328e8	25290618351	released
b800c84d-b4f2-4a68-aab9-ddf8156f1d50	7ea981fe075c3b52eb37e5dd7852a88b_gdc_realn.bam	40b8ad569e6f9edd0e2d5ba1f9fce783	23184423886	released
f32d1a67-99c8-4440-bbbf-3a02d0798613	C239.TCGA-59-2363-10A-01W-0800-08.3_gdc_realn.bam	f1afeea048e443d333f61ff30ccb95c7	17864319690	released
6b52a8d6-50a6-482e-a09d-4de63daf7613	41750e36391b4a4189d5053f838a32c5_gdc_realn.bam	590030c9f08d1f503f225756e26c4c3a	23629488079	released
4f72e030-282c-41f5-8fab-a9d3ba1cf6e2	e0bb57f833ea9b0394dd8183bd22b287_gdc_realn.bam	51ad11333dc743b68bf3b0f2394ca301	35663200859	released
4bfe9091-6a92-4728-a313-c904e5e66260	6e0de0a67fc8adf06ddf94ce68188383_gdc_realn.bam	3a58897b48250090fd5cd63231beafd4	25812679466	released
ae41c27b-b69e-482c-810f-bcdfc3c94ebd	31aebfce62bcb0a97627f554fa945870_gdc_realn.bam	b494c217ee65efd95052fe5318193714	30792285809	released
28892248-7f9b-456a-b858-e2651282d8cc	98b33fee90438d97dd3cb1bd8dfbb216_gdc_realn.bam	9024c22b8f724ccfc36510506e7dec85	26148643925	released
aede5538-6c6e-48c3-8a75-c28225fb809f	2999b8cf93fd0bc33a040f16cb2f18f1_gdc_realn.bam	ac37d8f3c0a458c75327e83806133754	24071762695	released
f4c96076-a1d2-4202-83c7-ced21f06cd23	db4809d055133e7aa4724aaa2071e506_gdc_realn.bam	bb843200a7a585765238427c475cad55	14921670534	released
3d1f1400-b586-4ef4-a14a-3bd42882c229	C239.TCGA-24-1431-01A-01D.2_gdc_realn.bam	c6fda7291df208159108d9c5300cc0a5	15233012825	released
00f79634-3ebf-4549-a2b3-e6c2e4124878	C239.TCGA-31-1959-10A-01W-0700-08.3_gdc_realn.bam	144bb73299584677e898ef4973f8a3c0	34985916119	released
691a3f72-33b6-4bea-88ad-12461e163b37	C239.TCGA-61-2102-11A-01W-0723-08.2_gdc_realn.bam	f3fd4785f8183ab9d0ada6d117233f9e	15506924672	released
