"sampleID" "TMB_tumor" "TMB_paired"
"105" "TCGA-50-5942-01A-21D-1753-08" 65 54
"106" "TCGA-50-5944-01A-11D-1753-08" 51 50
"107" "TCGA-50-6590-01A-12D-1855-08" 625 789
"108" "TCGA-50-6591-01A-11D-1753-08" 41 39
"109" "TCGA-50-6592-01A-11D-1753-08" 216 230
"110" "TCGA-50-6593-01A-11D-1753-08" 226 254
"111" "TCGA-50-6594-01A-11D-1753-08" 327 428
"112" "TCGA-50-6595-01A-12D-1855-08" 64 80
"113" "TCGA-50-6597-01A-11D-1855-08" 59 42
"114" "TCGA-50-6673-01A-11D-1945-08" 95 98
"115" "TCGA-50-7109-01A-11D-2036-08" 183 217
"116" "TCGA-50-8457-01A-11D-2323-08" 36 38
"117" "TCGA-50-8459-01A-11D-2323-08" 75 72
"118" "TCGA-50-8460-01A-11D-2323-08" 29 25
"119" "TCGA-53-7624-01A-11D-2063-08" 483 656
"120" "TCGA-53-7626-01A-12D-2063-08" 665 744
"121" "TCGA-53-7813-01A-11D-2167-08" 100 126
"122" "TCGA-53-A4EZ-01A-12D-A24P-08" 328 440
"123" "TCGA-55-5899-01A-11D-1625-08" 311 370
"124" "TCGA-55-6543-01A-11D-1753-08" 20 12
"125" "TCGA-55-6642-01A-11D-1855-08" 137 131
"126" "TCGA-55-6712-01A-11D-1855-08" 132 145
"127" "TCGA-55-6968-01A-11D-1945-08" 384 424
"128" "TCGA-55-6969-01A-11D-1945-08" 359 371
"129" "TCGA-55-6970-01A-11D-1945-08" 91 113
"130" "TCGA-55-6971-01A-11D-1945-08" 294 324
"131" "TCGA-55-6972-01A-11D-1945-08" 172 227
"132" "TCGA-55-6975-01A-11D-1945-08" 63 69
"133" "TCGA-55-6978-01A-11D-1945-08" 79 77
"134" "TCGA-55-6979-01A-11D-1945-08" 606 648
"135" "TCGA-55-6980-01A-11D-1945-08" 47 43
"136" "TCGA-55-6981-01A-11D-1945-08" 313 292
"137" "TCGA-55-6982-01A-11D-1945-08" 228 223
"138" "TCGA-55-6983-01A-11D-1945-08" 98 104
"139" "TCGA-55-6984-01A-11D-1945-08" 24 28
"140" "TCGA-55-6985-01A-11D-1945-08" 342 394
"141" "TCGA-55-6986-01A-11D-1945-08" 26 28
"142" "TCGA-55-6987-01A-11D-1945-08" 208 201
"143" "TCGA-55-7284-01B-11D-2238-08" 41 42
"144" "TCGA-55-7573-01A-11D-2036-08" 32 36
"145" "TCGA-55-7724-01A-11D-2167-08" 226 210
"146" "TCGA-55-7725-01A-11D-2167-08" 101 101
"147" "TCGA-55-7726-01A-11D-2167-08" 97 97
"148" "TCGA-55-7727-01A-11D-2167-08" 164 194
"149" "TCGA-55-7728-01A-11D-2184-08" 74 81
"150" "TCGA-55-7815-01A-11D-2167-08" 125 123
"151" "TCGA-55-7903-01A-11D-2167-08" 122 120
"152" "TCGA-55-7907-01A-11D-2167-08" 776 954
"153" "TCGA-55-7910-01A-11D-2167-08" 205 228
"154" "TCGA-55-7911-01A-11D-2167-08" 162 200
"155" "TCGA-55-7913-01B-11D-2238-08" 262 303
"156" "TCGA-55-7914-01A-11D-2167-08" 145 157
"157" "TCGA-55-7994-01A-11D-2184-08" 925 1259
"158" "TCGA-55-7995-01A-11D-2184-08" 391 560
"159" "TCGA-55-8085-01A-11D-2238-08" 211 218
"160" "TCGA-55-8087-01A-11D-2238-08" 51 25
"161" "TCGA-55-8089-01A-11D-2238-08" 1039 1126
"162" "TCGA-55-8090-01A-11D-2238-08" 52 62
"163" "TCGA-55-8091-01A-11D-2238-08" 22 23
"164" "TCGA-55-8092-01A-11D-2238-08" 423 491
"165" "TCGA-55-8094-01A-11D-2238-08" 287 371
"166" "TCGA-55-8096-01A-11D-2238-08" 141 138
"167" "TCGA-55-8097-01A-11D-2238-08" 71 95
"168" "TCGA-55-8203-01A-11D-2238-08" 307 372
"169" "TCGA-55-8204-01A-11D-2238-08" 183 181
"170" "TCGA-55-8205-01A-11D-2238-08" 469 511
"171" "TCGA-55-8206-01A-11D-2238-08" 37 26
"172" "TCGA-55-8207-01A-11D-2238-08" 185 250
"173" "TCGA-55-8208-01A-11D-2238-08" 322 354
"174" "TCGA-55-8301-01A-11D-2284-08" 261 264
"175" "TCGA-55-8302-01A-11D-2323-08" 570 630
"176" "TCGA-55-8505-01A-11D-2393-08" 44 47
"177" "TCGA-55-8506-01A-11D-2393-08" 1098 1367
"178" "TCGA-55-8507-01A-11D-2393-08" 633 793
"179" "TCGA-55-8508-01A-11D-2393-08" 122 153
"180" "TCGA-55-8510-01A-11D-2393-08" 226 254
"181" "TCGA-55-8511-01A-11D-2393-08" 454 505
"182" "TCGA-55-8512-01A-11D-2393-08" 32 32
"183" "TCGA-55-8513-01A-11D-2393-08" 11 17
"184" "TCGA-55-8514-01A-11D-2393-08" 166 196
"185" "TCGA-55-8614-01A-11D-2393-08" 164 203
"186" "TCGA-55-8615-01A-11D-2393-08" 109 117
"187" "TCGA-55-8616-01A-11D-2393-08" 319 399
"188" "TCGA-55-8619-01A-11D-2393-08" 20 24
"189" "TCGA-55-8620-01A-11D-2393-08" 328 417
"190" "TCGA-55-8621-01A-11D-2393-08" 79 69
"191" "TCGA-55-A48X-01A-11D-A24D-08" 291 304
"192" "TCGA-55-A48Y-01A-11D-A24D-08" 295 319
"193" "TCGA-55-A48Z-01A-12D-A24P-08" 51 43
"194" "TCGA-55-A490-01A-11D-A24D-08" 666 925
"195" "TCGA-55-A491-01A-11D-A24D-08" 231 342
"196" "TCGA-55-A492-01A-11D-A24D-08" 203 239
"197" "TCGA-55-A493-01A-11D-A24D-08" 237 260
"198" "TCGA-55-A494-01A-11D-A24P-08" 148 183
"199" "TCGA-55-A4DF-01A-11D-A24D-08" 608 683
"200" "TCGA-55-A4DG-01A-11D-A24D-08" 423 523
"201" "TCGA-55-A57B-01A-12D-A397-08" 33 32
"202" "TCGA-62-8394-01A-11D-2323-08" 142 115
"203" "TCGA-62-8395-01A-11D-2323-08" 77 78
"204" "TCGA-62-8397-01A-11D-2323-08" 40 20
"205" "TCGA-62-8398-01A-11D-2323-08" 59 69
"206" "TCGA-62-8399-01A-21D-2323-08" 354 422
"207" "TCGA-62-8402-01A-11D-2323-08" 55 44
"208" "TCGA-62-A46O-01A-11D-A24D-08" 300 605
"209" "TCGA-62-A46P-01A-11D-A24D-08" 164 214
"210" "TCGA-62-A46R-01A-11D-A24D-08" 120 106
"211" "TCGA-62-A46S-01A-11D-A24D-08" 99 119
"212" "TCGA-62-A46U-01A-11D-A24D-08" 51 44
"213" "TCGA-62-A46V-01A-11D-A24D-08" 55 47
"214" "TCGA-62-A46Y-01A-11D-A24D-08" 30 38
"215" "TCGA-62-A470-01A-11D-A24D-08" 97 101
"216" "TCGA-62-A471-01A-12D-A24D-08" 88 103
"217" "TCGA-62-A472-01A-11D-A24D-08" 40 50
"218" "TCGA-64-1677-01A-01W-0928-08" 187 198
"219" "TCGA-64-1679-01A-21D-2063-08" 360 439
"220" "TCGA-64-1681-01A-11D-2063-08" 73 62
"221" "TCGA-64-5774-01A-01D-1625-08" 97 93
"222" "TCGA-64-5775-01A-01D-1625-08" 240 319
"223" "TCGA-64-5778-01A-01D-1625-08" 288 343
"224" "TCGA-64-5779-01A-01D-1625-08" 230 255
"225" "TCGA-64-5781-01A-01D-1625-08" 763 894
"226" "TCGA-64-5815-01A-01D-1625-08" 126 136
"227" "TCGA-67-3772-01A-01W-0928-08" 62 68
"228" "TCGA-67-4679-01B-01D-1753-08" 185 221
"229" "TCGA-67-6215-01A-11D-1753-08" 99 91
"230" "TCGA-67-6216-01A-11D-1753-08" 30 24
"231" "TCGA-67-6217-01A-11D-1753-08" 128 165
"232" "TCGA-69-7760-01A-11D-2167-08" 65 59
"233" "TCGA-69-7761-01A-11D-2167-08" 19 19
"234" "TCGA-69-7763-01A-11D-2167-08" 62 61
"235" "TCGA-69-7764-01A-11D-2167-08" 66 71
"236" "TCGA-69-7765-01A-11D-2167-08" 493 546
"237" "TCGA-69-7973-01A-11D-2184-08" 139 184
"238" "TCGA-69-7974-01A-11D-2184-08" 362 369
"239" "TCGA-69-7978-01A-11D-2184-08" 516 556
"240" "TCGA-69-7979-01A-11D-2184-08" 877 1208
"241" "TCGA-69-7980-01A-11D-2184-08" 471 668
"242" "TCGA-69-8253-01A-11D-2284-08" 128 130
"243" "TCGA-69-8254-01A-11D-2284-08" 63 64
"244" "TCGA-69-8255-01A-11D-2284-08" 192 240
"245" "TCGA-71-6725-01A-11D-1855-08" 83 57
"246" "TCGA-73-4658-01A-01D-1753-08" 325 319
"247" "TCGA-73-4659-01A-01D-1265-08" 162 182
"248" "TCGA-73-4662-01A-01D-1265-08" 163 170
