"sampleID" "TMB_tumor" "TMB_paired"
"1" "TCGA-04-1332-01A-01W" 2.42507023158182 2.16708403673269
"2" "TCGA-04-1336-01A-01W" 1.62229205658006 1.99666714656007
"3" "TCGA-04-1343-01A-01W" 3.7399502119128 3.39995473810255
"4" "TCGA-04-1346-01A-01W" 2.11793545684884 1.82142449289001
"5" "TCGA-04-1347-01A-01W" 6.49733952932007 5.82229126653357
"6" "TCGA-04-1348-01A-01W" 3.40594705050278 1.47284196778499
"7" "TCGA-04-1349-01A-01W" 2.04526693869626 1.59076317454154
"8" "TCGA-04-1361-01A-01W" 3.93575668880718 3.52860944513747
"9" "TCGA-04-1362-01A-01W" 2.37263715526906 2.37263715526906
"10" "TCGA-09-2043-01A-01W" 3.42553860918592 2.90772463337874
"11" "TCGA-09-2044-01B-01D" 24.0767583620445 33.482666419944
"12" "TCGA-09-2044-01B-01W" 4.35284763292146 3.58203086459162
"13" "TCGA-09-2045-01A-01W" 2.78213458179796 1.51752795370798
"14" "TCGA-09-2049-01D-01W" 3.94828925561916 5.27869107001257
"15" "TCGA-09-2050-01A-01W" 2.25427297442302 3.44520964015593
"16" "TCGA-09-2051-01A-01W" 5.34677903715708 5.05207468077835
"17" "TCGA-09-2053-01C-01W" 3.35227424862274 1.86708945492912
"18" "TCGA-09-2055-01B-01W" 2.89915795847851 2.73109083045077
"19" "TCGA-09-2056-01B-01W" 2.7868452706621 2.58193017723106
"20" "TCGA-10-0934-01A-02D" 2.14219085349565 0.396702009906601
"21" "TCGA-13-0751-01A-01D" 2.75940530944177 1.85333192425194
"22" "TCGA-13-0755-01A-01W" 3.25612220110649 3.47914426967543
"23" "TCGA-13-0757-01A-01D" 3.45422297560234 3.01697956096913
"24" "TCGA-13-0760-01A-01W" 5.35249735998361 6.83472739813292
"25" "TCGA-13-0791-01A-01W" 3.59105379974831 3.13173296489678
"26" "TCGA-13-0795-01A-01W" 3.39386804623632 3.26333465984261
"27" "TCGA-13-0800-01A-01W" 3.69335985341582 3.16573701721356
"28" "TCGA-13-0894-01B-01W" 4.22462265868442 3.87257077046072
"29" "TCGA-13-1403-01A-01W" 1.74221091494288 1.86968976237773
"30" "TCGA-13-1411-01A-01W" 2.41637694459074 1.77808869507621
"31" "TCGA-13-1412-01A-01W" 2.42374830663453 1.64631960450647
"32" "TCGA-13-1477-01A-01D" 10.149920293273 8.87051857563354
"33" "TCGA-13-1500-01A-01D" 3.54386597301397 2.84288149483538
"34" "TCGA-13-1505-01A-01D" 3.22752728535629 2.62983704732734
"35" "TCGA-13-2060-01A-01W" 3.50244026118295 2.13563430559936
"36" "TCGA-20-0991-01A-03D" 5.4537599503138 6.14565486938347
"37" "TCGA-20-0996-01A-03W" 0.450195339757921 0.409268490689019
"38" "TCGA-23-1021-01B-01W" 2.66146635249353 3.43943344014549
"39" "TCGA-23-1022-01A-02W" 4.90609968480945 7.41996894479446
"40" "TCGA-23-1110-01A-01D" 4.42845989113123 4.30544711637759
"41" "TCGA-23-1117-01A-02W" 5.34101745664429 4.5331324632023
"42" "TCGA-23-1118-01A-01W" 3.22546552787906 2.93224138898096
"43" "TCGA-23-1123-01A-01W" 3.15317204377846 2.92794546922286
"44" "TCGA-23-1124-01A-01W" 4.93317542024327 5.79111897158993
"45" "TCGA-23-2072-01A-01W" 3.5874426592134 2.55605289468954
"46" "TCGA-23-2077-01A-01W" 5.37169800045257 4.61630296913892
"47" "TCGA-23-2078-01A-01W" 6.48320150966714 5.49569399494963
"48" "TCGA-23-2079-01A-01W" 2.57769477891855 2.40293581085627
"49" "TCGA-23-2081-01A-01W" 3.98479379248823 4.39499315347967
"50" "TCGA-23-2084-01A-02W" 5.41460543659228 5.05954934238951
"51" "TCGA-24-1431-01A-01D" 3.43672483239437 3.48254783015962
"52" "TCGA-24-1927-01A-01W" 4.75283944256896 4.13824813534022
"53" "TCGA-24-2019-01A-02W" 4.9202061680326 4.60945630478844
"54" "TCGA-24-2024-01A-02W" 3.82451947944372 4.29092429401003
"55" "TCGA-24-2030-01A-01W" 4.36752652518446 4.41952088857951
"56" "TCGA-24-2033-01A-01W" 4.60754902538819 4.56488653441238
"57" "TCGA-24-2035-01A-01W" 4.54938332333589 4.13580302121445
"58" "TCGA-24-2036-01A-01W" 1.33586204837036 1.59441599321623
"59" "TCGA-24-2038-01A-01W" 1.56691595028963 0.55053803658825
"60" "TCGA-24-2254-01A-01W" 3.45771222619942 2.80355045367521
"61" "TCGA-24-2260-01A-01W" 3.3998550483133 3.30919224702495
"62" "TCGA-24-2261-01A-01W" 2.85166292169551 2.21323092430099
"63" "TCGA-24-2262-01A-01W" 3.60405786742364 2.93353547348436
"64" "TCGA-24-2267-01A-01W" 4.59408382314767 4.46764114911608
"65" "TCGA-24-2271-01A-01W" 6.12220736566568 1.94221750910773
"66" "TCGA-24-2280-01A-01W" 7.55184593965773 7.42598184066343
"67" "TCGA-24-2281-01A-01W" 1.67349032346058 2.05002564623921
"68" "TCGA-24-2288-01A-01W" 7.18823339159726 6.85194177093774
"69" "TCGA-24-2289-01A-01W" 5.19625204732331 5.8198022930021
"70" "TCGA-24-2290-01A-01W" 1.66617856179312 1.96523625237137
"71" "TCGA-24-2293-01A-01W" 4.90359740697769 3.15535833144651
"72" "TCGA-24-2295-01A-01W" 3.19576624887349 3.53216269612333
"73" "TCGA-24-2298-01A-01W" 4.55500124301387 3.21775317167035
"74" "TCGA-25-1319-01A-01D" 2.60307798353085 2.16923165294237
"75" "TCGA-25-2042-01A-01W" 3.97110241314279 3.63669378887814
