"sampleID" "TMB_tumor" "TMB_paired"
"1" "TCGA-04-1332-01A-01W" 3.62168835669364 2.57983280202834
"2" "TCGA-04-1336-01A-01W" 2.33046753591784 2.23129870460218
"3" "TCGA-04-1343-01A-01W" 4.32024338300142 3.62342993413022
"4" "TCGA-04-1346-01A-01W" 2.49081809207797 2.12757378698327
"5" "TCGA-04-1347-01A-01W" 6.97743061620884 5.99469390970055
"6" "TCGA-04-1348-01A-01W" 3.67556282596296 1.29725746798693
"7" "TCGA-04-1349-01A-01W" 2.70249858769881 1.86718084241008
"8" "TCGA-04-1361-01A-01W" 4.09881326655385 3.34832633042427
"9" "TCGA-04-1362-01A-01W" 2.99793164519621 2.88891594900725
"10" "TCGA-04-1542-01A-01W" 3.07347799102565 2.72078379533418
"11" "TCGA-04-1655-01A-01W" 4.11640996781973 3.87708380689997
"12" "TCGA-09-0365-01A-02W" 2.21805484630428 2.40289275016297
"13" "TCGA-09-0366-01A-01W" 4.2875011345017 2.89045020303486
"14" "TCGA-09-0369-01A-01W" 3.74524786565346 3.79206346397413
"15" "TCGA-09-1670-01A-01W" 1.27064822424115 1.27064822424115
"16" "TCGA-09-1672-01A-01W" 1.27875382488794 0.786925430700273
"17" "TCGA-09-1673-01A-01W" 1.20865429349539 1.59542366741392
"18" "TCGA-09-1674-01A-01W" 4.73809731935859 4.49635766020764
"19" "TCGA-09-1675-01B-01W" 2.27442308887521 2.22497910868227
"20" "TCGA-10-0930-01A-02W" 4.96234190623305 5.15694354961474
"21" "TCGA-10-0933-01A-01W" 2.77801604816008 2.63180467720428
"22" "TCGA-10-0935-01A-03W" 1.5164338133629 1.956688791436
"23" "TCGA-13-0723-01A-02W" 3.15575120585022 2.4492397418539
"24" "TCGA-13-0724-01A-01W" 2.4710629029971 1.3780927728253
"25" "TCGA-13-0726-01A-01W" 8.24700513444795 11.4999904930357
"26" "TCGA-13-0755-01A-01W" 4.03018047148151 4.28852537349956
"27" "TCGA-13-0760-01A-01W" 6.24306345988874 6.85791061881718
"28" "TCGA-13-0765-01A-01W" 1.81737502869733 1.27707434449002
"29" "TCGA-13-0791-01A-01W" 3.90474721547476 3.28570192521657
"30" "TCGA-13-0795-01A-01W" 3.03379189097765 3.03379189097765
"31" "TCGA-13-0800-01A-01W" 4.44053518555031 3.72596630511693
"32" "TCGA-13-0804-01A-01W" 1.58743980276527 1.35399277294685
"33" "TCGA-13-0807-01B-02W" 10.4228312588221 10.2350324974019
"34" "TCGA-13-0884-01B-01W" 5.0943046765353 4.57447766872558
"35" "TCGA-13-0885-01A-02W" 5.54071633946167 6.64885960735401
"36" "TCGA-13-0887-01A-01W" 4.78455461561917 4.78455461561917
"37" "TCGA-13-0890-01A-01W" 2.79294918117247 2.56020341607476
"38" "TCGA-13-0893-01B-01W" 3.56119533787731 3.39932282251925
"39" "TCGA-13-0894-01B-01W" 3.48077389344769 4.15614793247486
"40" "TCGA-13-0897-01A-01W" 2.06774860135269 1.72312383446058
"41" "TCGA-13-0903-01A-01W" 6.00766831926045 6.57088722419112
"42" "TCGA-13-0910-01A-01W" 3.01872828767507 1.85018830534924
"43" "TCGA-13-0912-01A-01W" 1.50659725240489 1.64356063898716
"44" "TCGA-13-0920-01A-01W" 11.074180662841 12.5603261197591
"45" "TCGA-13-0924-01A-01W" 2.86075239242541 2.61831574899952
"46" "TCGA-13-1403-01A-01W" 1.89700169397259 1.89700169397259
"47" "TCGA-13-1404-01A-01W" 1.79270394801918 2.10906346825786
"48" "TCGA-13-1405-01A-01W" 2.64289712268271 1.87405432335683
"49" "TCGA-13-1411-01A-01W" 2.36811954831798 1.96503536988088
"50" "TCGA-13-1412-01A-01W" 3.16368384008611 1.99811610952807
"51" "TCGA-13-1481-01A-01W" 9.48839398431968 9.24757180197654
"52" "TCGA-13-1482-01A-01W" 3.18957513188513 2.02512706786358
"53" "TCGA-13-1483-01A-01W" 3.56064490400501 3.12166128570303
"54" "TCGA-13-1488-01A-01W" 6.90263446741631 6.85297522664353
"55" "TCGA-13-1491-01A-01W" 3.14732439515459 1.90746933039672
"56" "TCGA-13-1497-01A-01W" 4.86376287181601 5.4416356882694
"57" "TCGA-13-1498-01A-01W" 4.83362032754621 5.31219659760029
"58" "TCGA-13-1499-01A-01W" 3.14417595371773 3.09724795440851
"59" "TCGA-13-1506-01A-01W" 2.68975139396366 0.81653167316754
"60" "TCGA-13-1507-01A-01W" 3.0438808720148 2.9011989561391
"61" "TCGA-13-1509-01A-01W" 3.94394860246181 3.46877407204473
"62" "TCGA-20-0996-01A-03W" 0.524074081396995 0.714646474632266
"63" "TCGA-20-1682-01A-01W" 3.15826660492506 3.15826660492506
"64" "TCGA-20-1683-01A-01W" 3.9881646835761 4.3286177663204
"65" "TCGA-20-1684-01A-01W" 1.88873629537551 1.52020238408273
"66" "TCGA-20-1685-01A-01W" 3.78126273940631 3.21918314300807
"67" "TCGA-20-1686-01A-01W" 4.78483516426891 4.25902910226134
"68" "TCGA-20-1687-01A-01W" 3.29465121097737 2.83134088443367
"69" "TCGA-23-1021-01B-01W" 2.97438802446137 3.11831002564498
"70" "TCGA-23-1022-01A-02W" 5.96551068860756 7.36067044642707
"71" "TCGA-23-1029-01B-01W" 3.18955240029766 2.6988520310211
"72" "TCGA-23-1111-01A-01W" 3.34587989804086 2.52153267678441
"73" "TCGA-23-1114-01B-01W" 6.31402995097249 5.89618973362872
"74" "TCGA-23-1117-01A-02W" 5.56432510857191 4.5574472317827
"75" "TCGA-23-1118-01A-01W" 4.12522862091569 3.727616223719
