"SampleId" "mut_tumor_only" "mut_matching"
"411" "TCGA-13-0903-01A-01W" 128 140
"421" "TCGA-13-0910-01A-01W" 62 38
"431" "TCGA-13-0912-01A-01W" 33 36
"441" "TCGA-13-0920-01A-01W" 231 262
"451" "TCGA-13-0924-01A-01W" 59 54
"471" "TCGA-13-1404-01A-01W" 34 40
"481" "TCGA-13-1405-01A-01W" 55 39
"511" "TCGA-13-1481-01A-01W" 197 192
"521" "TCGA-13-1482-01A-01W" 63 40
"531" "TCGA-13-1483-01A-01W" 73 64
"541" "TCGA-13-1488-01A-01W" 139 138
"551" "TCGA-13-1491-01A-01W" 66 40
"561" "TCGA-13-1497-01A-01W" 101 113
"571" "TCGA-13-1498-01A-01W" 101 111
"581" "TCGA-13-1499-01A-01W" 67 66
"591" "TCGA-13-1506-01A-01W" 56 17
"601" "TCGA-13-1507-01A-01W" 64 61
"611" "TCGA-13-1509-01A-01W" 83 73
"631" "TCGA-20-1682-01A-01W" 63 63
"641" "TCGA-20-1683-01A-01W" 82 89
"651" "TCGA-20-1684-01A-01W" 41 33
"661" "TCGA-20-1685-01A-01W" 74 63
"671" "TCGA-20-1686-01A-01W" 91 81
"681" "TCGA-20-1687-01A-01W" 64 55
"711" "TCGA-23-1029-01B-01W" 65 55
"721" "TCGA-23-1111-01A-01W" 69 52
"731" "TCGA-23-1114-01B-01W" 136 127
"781" "TCGA-23-1809-01A-01W" 65 39
"791" "TCGA-24-0966-01A-01W" 52 35
"801" "TCGA-24-0980-01A-01W" 50 33
"811" "TCGA-24-0982-01A-01W" 84 69
"821" "TCGA-24-1103-01A-01W" 64 53
"831" "TCGA-24-1104-01A-01W" 87 75
"841" "TCGA-24-1413-01A-01W" 46 43
"851" "TCGA-24-1416-01A-01W" 20 16
"861" "TCGA-24-1417-01A-01W" 88 78
"871" "TCGA-24-1418-01A-01W" 70 53
"881" "TCGA-24-1424-01A-01W" 73 58
"891" "TCGA-24-1425-01A-02W" 94 77
"901" "TCGA-24-1427-01A-01W" 64 54
"911" "TCGA-24-1428-01A-01W" 46 60
"921" "TCGA-24-1435-01A-01W" 85 68
"931" "TCGA-24-1436-01A-01W" 90 79
"941" "TCGA-24-1463-01A-01W" 54 59
"951" "TCGA-24-1464-01A-01W" 47 44
"961" "TCGA-24-1469-01A-01W" 189 211
"971" "TCGA-24-1470-01A-01W" 52 56
