"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t"
"185","TCGA-55-8620-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"189","TCGA-55-A48Z-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"190","TCGA-55-A490-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"191","TCGA-55-A491-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"192","TCGA-55-A492-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"194","TCGA-55-A494-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,4,2,FALSE,4,2,FALSE
"195","TCGA-55-A4DF-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"196","TCGA-55-A4DG-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE
"197","TCGA-55-A57B-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"198","TCGA-62-8394-01",2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"200","TCGA-62-8397-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"201","TCGA-62-8398-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"202","TCGA-62-8399-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"203","TCGA-62-8402-01",5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE
"204","TCGA-62-A46O-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"206","TCGA-62-A46R-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"207","TCGA-62-A46S-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"208","TCGA-62-A46U-01",5,2,FALSE,5,2,FALSE,5,2,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"209","TCGA-62-A46V-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"211","TCGA-62-A470-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"212","TCGA-62-A471-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"213","TCGA-62-A472-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"214","TCGA-64-1677-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"215","TCGA-64-1679-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"216","TCGA-64-1681-01",3,3,FALSE,3,3,FALSE,3,3,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"217","TCGA-64-5774-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"218","TCGA-64-5775-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"220","TCGA-64-5779-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"221","TCGA-64-5781-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"224","TCGA-67-4679-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"225","TCGA-67-6215-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,2,0,TRUE,2,0,TRUE
"227","TCGA-67-6217-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"228","TCGA-69-7760-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"229","TCGA-69-7761-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"230","TCGA-69-7763-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"233","TCGA-69-7973-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"234","TCGA-69-7974-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
