"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t"
"383","TCGA-97-A4M0-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"384","TCGA-97-A4M1-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"391","TCGA-99-8025-01",5,1,FALSE,3,2,FALSE,3,2,FALSE,6,1,FALSE,4,1,FALSE,4,1,FALSE
"393","TCGA-99-8032-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"394","TCGA-99-8033-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"396","TCGA-J2-8192-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"397","TCGA-J2-8194-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE
"399","TCGA-J2-A4AE-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"403","TCGA-L9-A444-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,4,2,FALSE,4,2,FALSE
"405","TCGA-L9-A5IP-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"406","TCGA-L9-A743-01",4,1,FALSE,4,1,FALSE,4,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"407","TCGA-L9-A7SV-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"408","TCGA-L9-A8F4-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"409","TCGA-MN-A4N1-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"410","TCGA-MN-A4N4-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"411","TCGA-MN-A4N5-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"412","TCGA-MP-A4SV-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"415","TCGA-MP-A4T2-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"416","TCGA-MP-A4T7-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"417","TCGA-MP-A4T8-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"418","TCGA-MP-A4T9-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"420","TCGA-MP-A4TC-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"421","TCGA-MP-A4TE-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"422","TCGA-MP-A4TF-01",5,2,FALSE,5,2,FALSE,5,2,FALSE,7,2,FALSE,7,2,FALSE,7,2,FALSE
"425","TCGA-MP-A4TK-01",2,0,TRUE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"426","TCGA-MP-A5C7-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"427","TCGA-NJ-A4YF-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"428","TCGA-NJ-A4YG-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"429","TCGA-NJ-A4YI-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"430","TCGA-NJ-A4YP-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"431","TCGA-NJ-A4YQ-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"433","TCGA-NJ-A55R-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"434","TCGA-NJ-A7XG-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"435","TCGA-O1-A52J-01",3,0,TRUE,3,2,FALSE,3,2,FALSE,2,0,TRUE,5,2,FALSE,5,2,FALSE
"438","TCGA-38-4629-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"440","TCGA-50-6597-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"441","TCGA-75-6206-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"442","TCGA-95-7948-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
