"","SampleId","HLAA_LOH","HLAB_LOH","HLAC_LOH","TP53_LOH"
"364","TCGA-95-A4VN-01",TRUE,TRUE,TRUE,NA
"365","TCGA-95-A4VP-01",FALSE,FALSE,FALSE,NA
"366","TCGA-97-7546-01",NA,NA,NA,NA
"367","TCGA-97-7547-01",TRUE,TRUE,TRUE,FALSE
"368","TCGA-97-7552-01",NA,NA,NA,NA
"369","TCGA-97-7553-01",FALSE,FALSE,FALSE,TRUE
"370","TCGA-97-7554-01",FALSE,FALSE,FALSE,TRUE
"371","TCGA-97-7937-01",NA,NA,NA,NA
"372","TCGA-97-7938-01",FALSE,FALSE,FALSE,TRUE
"373","TCGA-97-7941-01",NA,NA,NA,NA
"374","TCGA-97-8171-01",FALSE,FALSE,FALSE,NA
"375","TCGA-97-8172-01",FALSE,FALSE,FALSE,FALSE
"376","TCGA-97-8174-01",FALSE,FALSE,FALSE,FALSE
"377","TCGA-97-8175-01",NA,NA,NA,TRUE
"378","TCGA-97-8176-01",NA,NA,NA,NA
"379","TCGA-97-8177-01",FALSE,FALSE,FALSE,FALSE
"380","TCGA-97-8179-01",FALSE,FALSE,FALSE,TRUE
"381","TCGA-97-8547-01",NA,NA,NA,TRUE
"382","TCGA-97-8552-01",TRUE,TRUE,TRUE,FALSE
"383","TCGA-97-A4LX-01",NA,NA,NA,TRUE
"384","TCGA-97-A4M0-01",FALSE,FALSE,FALSE,TRUE
"385","TCGA-97-A4M1-01",FALSE,FALSE,FALSE,TRUE
"386","TCGA-97-A4M2-01",NA,NA,NA,NA
"387","TCGA-97-A4M3-01",NA,NA,NA,NA
"388","TCGA-97-A4M5-01",NA,NA,NA,TRUE
"389","TCGA-97-A4M6-01",NA,NA,NA,TRUE
"390","TCGA-97-A4M7-01",NA,NA,NA,NA
"391","TCGA-99-7458-01",NA,NA,NA,TRUE
"392","TCGA-99-8025-01",FALSE,FALSE,FALSE,TRUE
"393","TCGA-99-8028-01",NA,NA,NA,NA
"394","TCGA-99-8032-01",FALSE,FALSE,FALSE,FALSE
"395","TCGA-99-8033-01",FALSE,FALSE,FALSE,TRUE
"396","TCGA-99-AA5R-01",NA,NA,NA,NA
"397","TCGA-J2-8192-01",TRUE,TRUE,TRUE,NA
"398","TCGA-J2-8194-01",FALSE,FALSE,FALSE,FALSE
"399","TCGA-J2-A4AD-01",NA,NA,NA,TRUE
"400","TCGA-J2-A4AE-01",FALSE,FALSE,FALSE,TRUE
"401","TCGA-J2-A4AG-01",NA,NA,NA,NA
"402","TCGA-L4-A4E5-01",NA,NA,NA,TRUE
"403","TCGA-L9-A443-01",NA,NA,NA,NA
"404","TCGA-L9-A444-01",FALSE,FALSE,FALSE,TRUE
"405","TCGA-L9-A50W-01",NA,NA,NA,TRUE
"406","TCGA-L9-A5IP-01",TRUE,TRUE,TRUE,TRUE
"407","TCGA-L9-A743-01",FALSE,FALSE,FALSE,TRUE
"408","TCGA-L9-A7SV-01",TRUE,TRUE,TRUE,FALSE
"409","TCGA-L9-A8F4-01",FALSE,FALSE,FALSE,TRUE
"410","TCGA-MN-A4N1-01",FALSE,FALSE,FALSE,TRUE
"411","TCGA-MN-A4N4-01",FALSE,FALSE,FALSE,TRUE
"412","TCGA-MN-A4N5-01",FALSE,FALSE,FALSE,TRUE
"413","TCGA-MP-A4SV-01",FALSE,FALSE,FALSE,TRUE
"414","TCGA-MP-A4SW-01",NA,NA,NA,NA
"415","TCGA-MP-A4SY-01",NA,NA,NA,NA
"416","TCGA-MP-A4T2-01",FALSE,FALSE,FALSE,FALSE
"417","TCGA-MP-A4T7-01",FALSE,FALSE,FALSE,FALSE
"418","TCGA-MP-A4T8-01",FALSE,FALSE,FALSE,TRUE
"419","TCGA-MP-A4T9-01",TRUE,TRUE,TRUE,TRUE
"420","TCGA-MP-A4TA-01",NA,NA,NA,TRUE
"421","TCGA-MP-A4TC-01",TRUE,TRUE,TRUE,TRUE
"422","TCGA-MP-A4TE-01",FALSE,FALSE,FALSE,NA
"423","TCGA-MP-A4TF-01",FALSE,FALSE,FALSE,TRUE
"424","TCGA-MP-A4TH-01",NA,NA,NA,TRUE
"425","TCGA-MP-A4TI-01",NA,NA,NA,TRUE
"426","TCGA-MP-A4TK-01",TRUE,FALSE,TRUE,TRUE
"427","TCGA-MP-A5C7-01",FALSE,FALSE,FALSE,NA
"428","TCGA-NJ-A4YF-01",FALSE,FALSE,FALSE,TRUE
"429","TCGA-NJ-A4YG-01",FALSE,FALSE,FALSE,NA
"430","TCGA-NJ-A4YI-01",FALSE,FALSE,FALSE,FALSE
"431","TCGA-NJ-A4YP-01",FALSE,FALSE,FALSE,FALSE
"432","TCGA-NJ-A4YQ-01",TRUE,TRUE,TRUE,TRUE
"433","TCGA-NJ-A55A-01",NA,NA,NA,NA
"434","TCGA-NJ-A55R-01",FALSE,FALSE,FALSE,FALSE
"435","TCGA-NJ-A7XG-01",FALSE,FALSE,FALSE,FALSE
"436","TCGA-O1-A52J-01",TRUE,FALSE,FALSE,TRUE
"437","TCGA-S2-AA1A-01",NA,NA,NA,NA
"438","TCGA-05-5420-01",NA,NA,NA,TRUE
"439","TCGA-38-4629-01",TRUE,TRUE,TRUE,TRUE
"440","TCGA-38-4630-01",NA,NA,NA,TRUE
"441","TCGA-50-6597-01",FALSE,FALSE,FALSE,FALSE
"442","TCGA-75-6206-01",FALSE,FALSE,FALSE,TRUE
"443","TCGA-95-7948-01",FALSE,FALSE,FALSE,FALSE
