"","SampleId","TP53_LOH","TP53_LOH_t","TP53_LOH_p"
"111","TCGA-25-1315-01",TRUE,TRUE,TRUE
"112","TCGA-25-1319-01",TRUE,TRUE,TRUE
"113","TCGA-25-1322-01",TRUE,TRUE,TRUE
"114","TCGA-25-1323-01",TRUE,TRUE,TRUE
"115","TCGA-25-2042-01",TRUE,TRUE,TRUE
"116","TCGA-25-2391-01",TRUE,TRUE,TRUE
"117","TCGA-25-2392-01",TRUE,TRUE,TRUE
"118","TCGA-25-2393-01",TRUE,TRUE,TRUE
"119","TCGA-25-2399-01",TRUE,TRUE,TRUE
"120","TCGA-25-2400-01",TRUE,TRUE,TRUE
"121","TCGA-25-2401-01",TRUE,TRUE,TRUE
"122","TCGA-25-2404-01",TRUE,TRUE,TRUE
"124","TCGA-29-1691-01",TRUE,TRUE,TRUE
"125","TCGA-29-1693-01",TRUE,TRUE,TRUE
"126","TCGA-29-1694-01",TRUE,TRUE,TRUE
"127","TCGA-29-1695-01",TRUE,TRUE,TRUE
"128","TCGA-29-1696-01",TRUE,TRUE,TRUE
"129","TCGA-29-1697-01",TRUE,TRUE,TRUE
"130","TCGA-29-1698-01",TRUE,TRUE,TRUE
"131","TCGA-29-1699-01",TRUE,TRUE,TRUE
"134","TCGA-29-1703-01",TRUE,TRUE,TRUE
"135","TCGA-29-1705-01",TRUE,TRUE,TRUE
"136","TCGA-29-1707-01",TRUE,TRUE,TRUE
"137","TCGA-29-1711-01",TRUE,TRUE,TRUE
"138","TCGA-29-1761-01",TRUE,TRUE,TRUE
"139","TCGA-29-1762-01",TRUE,TRUE,TRUE
"140","TCGA-29-1763-01",TRUE,TRUE,TRUE
"141","TCGA-29-1764-01",TRUE,TRUE,TRUE
"142","TCGA-29-1766-01",TRUE,TRUE,TRUE
"143","TCGA-29-1768-01",TRUE,TRUE,TRUE
"144","TCGA-29-1769-01",TRUE,TRUE,TRUE
"145","TCGA-29-1770-01",TRUE,TRUE,TRUE
"146","TCGA-29-1774-01",TRUE,TRUE,TRUE
"147","TCGA-29-1775-01",TRUE,TRUE,TRUE
"148","TCGA-29-1776-01",TRUE,TRUE,TRUE
"149","TCGA-29-1777-01",TRUE,TRUE,TRUE
"150","TCGA-29-1778-01",TRUE,TRUE,TRUE
"151","TCGA-29-1781-01",TRUE,TRUE,TRUE
"152","TCGA-29-1783-01",TRUE,TRUE,TRUE
"153","TCGA-29-1784-01",TRUE,TRUE,TRUE
"154","TCGA-29-1785-01",TRUE,TRUE,TRUE
"155","TCGA-29-2427-01",TRUE,TRUE,TRUE
"156","TCGA-30-1714-01",TRUE,TRUE,TRUE
"157","TCGA-30-1718-01",TRUE,TRUE,TRUE
"159","TCGA-30-1855-01",TRUE,TRUE,TRUE
"160","TCGA-30-1856-01",TRUE,TRUE,TRUE
"161","TCGA-30-1857-01",TRUE,TRUE,TRUE
"162","TCGA-30-1862-01",TRUE,TRUE,TRUE
"163","TCGA-30-1891-01",TRUE,TRUE,TRUE
"164","TCGA-31-1950-01",TRUE,TRUE,TRUE
"165","TCGA-31-1953-01",TRUE,TRUE,TRUE
"166","TCGA-31-1959-01",TRUE,TRUE,TRUE
"167","TCGA-57-1586-01",TRUE,TRUE,TRUE
"168","TCGA-57-1992-01",TRUE,TRUE,TRUE
"169","TCGA-57-1993-01",TRUE,TRUE,TRUE
"170","TCGA-57-1994-01",TRUE,TRUE,TRUE
"171","TCGA-59-2350-01",TRUE,TRUE,TRUE
"172","TCGA-59-2351-01",TRUE,TRUE,TRUE
"173","TCGA-59-2352-01",TRUE,TRUE,TRUE
"174","TCGA-59-2354-01",TRUE,TRUE,TRUE
"175","TCGA-59-2355-01",TRUE,TRUE,TRUE
"176","TCGA-59-2363-01",TRUE,TRUE,TRUE
"177","TCGA-61-1722-01",TRUE,TRUE,TRUE
"178","TCGA-61-1725-01",TRUE,TRUE,TRUE
"179","TCGA-61-1727-01",TRUE,TRUE,TRUE
"180","TCGA-61-1728-01",TRUE,TRUE,TRUE
"181","TCGA-61-1730-01",TRUE,TRUE,TRUE
"182","TCGA-61-1733-01",TRUE,TRUE,TRUE
"183","TCGA-61-1736-01",TRUE,TRUE,TRUE
"184","TCGA-61-1737-01",TRUE,TRUE,TRUE
"185","TCGA-61-1738-01",TRUE,TRUE,TRUE
"186","TCGA-61-1740-01",TRUE,TRUE,TRUE
"187","TCGA-61-1741-01",TRUE,TRUE,TRUE
"188","TCGA-61-1895-01",TRUE,TRUE,TRUE
"189","TCGA-61-1899-01",TRUE,TRUE,TRUE
"190","TCGA-61-1900-01",TRUE,TRUE,TRUE
"191","TCGA-61-1901-01",TRUE,TRUE,TRUE
"192","TCGA-61-1903-01",TRUE,TRUE,TRUE
