"sampleID" "HLAA_LOH_t" "HLAA_LOH_p" "HLAB_LOH_t" "HLAB_LOH_p" "HLAC_LOH_t" "HLAC_LOH_p"
"54" "C239.TCGA-24-2024-01A-02W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"55" "C239.TCGA-24-2030-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"56" "C239.TCGA-24-2033-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"57" "C239.TCGA-24-2035-01A-01W-0722-08.5_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"58" "C239.TCGA-24-2036-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"59" "C239.TCGA-24-2038-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"60" "C239.TCGA-24-2254-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"61" "C239.TCGA-24-2260-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"62" "C239.TCGA-24-2261-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"63" "C239.TCGA-24-2262-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"64" "C239.TCGA-24-2267-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"65" "C239.TCGA-24-2271-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"66" "C239.TCGA-24-2280-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"67" "C239.TCGA-24-2281-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"68" "C239.TCGA-24-2288-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"69" "C239.TCGA-24-2289-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"70" "C239.TCGA-24-2290-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"71" "C239.TCGA-24-2293-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"72" "C239.TCGA-24-2295-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"73" "C239.TCGA-24-2298-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"74" "C239.TCGA-25-1319-01A-01D.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"75" "C239.TCGA-25-2042-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"76" "C239.TCGA-25-2391-01A-01W-0799-08.2_gdc_realn" TRUE TRUE FALSE FALSE FALSE FALSE
"77" "C239.TCGA-25-2392-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"78" "C239.TCGA-25-2393-01A-01W-0799-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"79" "C239.TCGA-25-2396-01A-01D-0704-01.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"80" "C239.TCGA-25-2396-01A-01W-0799-08.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"81" "C239.TCGA-25-2397-01A-01D-0704-01.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"82" "C239.TCGA-25-2397-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"83" "C239.TCGA-25-2398-01A-01D-0704-01.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"84" "C239.TCGA-25-2398-01A-01W-0799-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"85" "C239.TCGA-25-2399-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"86" "C239.TCGA-25-2400-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"87" "C239.TCGA-25-2401-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"88" "C239.TCGA-25-2404-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"89" "C239.TCGA-25-2408-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"90" "C239.TCGA-25-2409-01A-01W-0799-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"91" "C239.TCGA-29-2427-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"92" "C239.TCGA-30-1853-01A-02W-0699-08.6_gdc_realn" FALSE TRUE FALSE TRUE FALSE TRUE
"93" "C239.TCGA-30-1862-01A-02W-0699-08.6_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"94" "C239.TCGA-30-1891-01A-01W-0699-08.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"95" "C239.TCGA-31-1950-01A-01W-0699-08.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"96" "C239.TCGA-31-1953-01A-01W-0699-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"97" "C239.TCGA-31-1959-01A-01W-0699-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"98" "C239.TCGA-57-1992-01A-01W-0699-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"99" "C239.TCGA-57-1993-01A-01W-0699-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"100" "C239.TCGA-57-1994-01A-01W-0894-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"101" "C239.TCGA-59-2348-01A-01D-0704-01.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"102" "C239.TCGA-59-2348-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"103" "C239.TCGA-59-2349-01A-01W-0799-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"104" "C239.TCGA-59-2350-01A-01W-0799-08.4_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"105" "C239.TCGA-59-2351-01A-01W-0799-08.4_gdc_realn" FALSE FALSE TRUE TRUE FALSE FALSE
"106" "C239.TCGA-59-2352-01A-01W-0799-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"107" "C239.TCGA-59-2354-01A-01W-0799-08.3_gdc_realn" TRUE TRUE FALSE FALSE FALSE FALSE
"108" "C239.TCGA-59-2355-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"109" "C239.TCGA-59-2363-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"110" "C239.TCGA-61-1728-01A-01W-0699-08.4_gdc_realn" TRUE FALSE TRUE FALSE TRUE FALSE
"111" "C239.TCGA-61-1736-01B-01W-0722-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"112" "C239.TCGA-61-1919-01A-01W-0699-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"113" "C239.TCGA-61-1995-01A-01W-0722-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"114" "C239.TCGA-61-1998-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"115" "C239.TCGA-61-2000-01A-01W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"116" "C239.TCGA-61-2002-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"117" "C239.TCGA-61-2003-01A-01W-0722-08.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"118" "C239.TCGA-61-2008-01A-02W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"119" "C239.TCGA-61-2009-01A-01W-0722-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"120" "C239.TCGA-61-2012-01A-01W-0722-08.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"121" "C239.TCGA-61-2016-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"122" "C239.TCGA-61-2018-01A-01W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"123" "C239.TCGA-61-2087-01A-01W-0722-08.2_gdc_realn" FALSE FALSE NA NA FALSE FALSE
"124" "C239.TCGA-61-2088-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"125" "C239.TCGA-61-2092-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"126" "C239.TCGA-61-2094-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"127" "C239.TCGA-61-2096-01A-01W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"128" "C239.TCGA-61-2097-01A-02W-0722-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"129" "C239.TCGA-61-2101-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"130" "C239.TCGA-61-2102-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"131" "C239.TCGA-61-2104-01A-01W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"132" "C239.TCGA-61-2109-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"133" "C239.TCGA-61-2110-01A-01W-0722-08.4_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"134" "C239.TCGA-61-2111-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"135" "C239.TCGA-61-2113-01A-01W-0722-08.7_gdc_realn" TRUE TRUE NA NA TRUE TRUE
"136" "TCGA-61-1734-01B-01W-0722-08_IlluminaGA-DNASeq_capture_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
