"","SampleId","TP53_major","TP53_minor","TP53_LOH","TP53_C_t","TP53_M_t","TP53_LOH_t","kit"
"87","TCGA-61-2101-01",2,0,TRUE,2,0,TRUE,"931070"
"88","TCGA-61-2102-01",1,0,TRUE,1,0,TRUE,"931070"
"89","TCGA-61-2104-01",2,0,TRUE,2,0,TRUE,"931070"
"90","TCGA-61-2109-01",1,0,TRUE,1,0,TRUE,"931070"
"91","TCGA-61-2110-01",1,0,TRUE,1,0,TRUE,"931070"
"92","TCGA-61-2113-01",4,0,TRUE,1,0,TRUE,"931070"
"93","TCGA-61-1734-01",1,0,TRUE,2,0,TRUE,"931070"
"94","TCGA-13-0924-01",1,0,TRUE,1,0,TRUE,"S0293689"
"95","TCGA-29-1768-01",1,0,TRUE,1,0,TRUE,"S0293689"
"96","TCGA-24-1463-01",1,0,TRUE,1,0,TRUE,"S0293689"
"97","TCGA-13-1507-01",3,0,TRUE,3,0,TRUE,"S0293689"
"98","TCGA-23-1114-01",5,0,TRUE,6,0,TRUE,"S0293689"
"99","TCGA-13-1506-01",3,0,TRUE,3,0,TRUE,"S0293689"
"100","TCGA-10-0935-01",3,0,TRUE,3,0,TRUE,"S0293689"
"101","TCGA-20-1683-01",4,0,TRUE,5,0,TRUE,"S0293689"
"102","TCGA-24-0980-01",1,0,TRUE,1,0,TRUE,"S0293689"
"103","TCGA-29-1705-01",1,0,TRUE,1,0,TRUE,"S0293689"
"104","TCGA-61-1741-01",3,0,TRUE,3,0,TRUE,"S0293689"
"105","TCGA-24-1435-01",2,0,TRUE,2,0,TRUE,"S0293689"
"106","TCGA-13-0890-01",2,0,TRUE,1,0,TRUE,"S0293689"
"107","TCGA-29-1693-01",2,0,TRUE,2,0,TRUE,"S0293689"
"108","TCGA-29-1764-01",2,0,TRUE,2,0,TRUE,"S0293689"
"109","TCGA-61-1895-01",1,0,TRUE,1,0,TRUE,"S0293689"
"110","TCGA-61-1733-01",2,0,TRUE,2,0,TRUE,"S0293689"
"111","TCGA-24-1845-01",2,0,TRUE,2,0,TRUE,"S0293689"
"112","TCGA-24-1428-01",3,0,TRUE,4,0,TRUE,"S0293689"
"113","TCGA-24-1413-01",1,0,TRUE,2,0,TRUE,"S0293689"
"114","TCGA-29-1770-01",2,0,TRUE,2,0,TRUE,"S0293689"
"115","TCGA-13-0724-01",2,0,TRUE,2,0,TRUE,"S0293689"
"116","TCGA-24-1850-01",2,0,TRUE,2,0,TRUE,"S0293689"
