"sampleID" "TP53_LOH_t" "TP53_LOH_p"
"73" "C239.TCGA-24-2298-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"74" "C239.TCGA-25-1319-01A-01D.5_gdc_realn" TRUE TRUE
"75" "C239.TCGA-25-2042-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"76" "C239.TCGA-25-2391-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"77" "C239.TCGA-25-2392-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"78" "C239.TCGA-25-2393-01A-01W-0799-08.4_gdc_realn" TRUE TRUE
"79" "C239.TCGA-25-2396-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
"80" "C239.TCGA-25-2396-01A-01W-0799-08.3_gdc_realn" TRUE TRUE
"81" "C239.TCGA-25-2397-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
"82" "C239.TCGA-25-2397-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"83" "C239.TCGA-25-2398-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
"84" "C239.TCGA-25-2398-01A-01W-0799-08.3_gdc_realn" TRUE TRUE
"85" "C239.TCGA-25-2399-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"86" "C239.TCGA-25-2400-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"87" "C239.TCGA-25-2401-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"88" "C239.TCGA-25-2404-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"89" "C239.TCGA-25-2408-01A-01W-0799-08.2_gdc_realn" FALSE FALSE
"90" "C239.TCGA-25-2409-01A-01W-0799-08.5_gdc_realn" TRUE TRUE
"91" "C239.TCGA-29-2427-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"92" "C239.TCGA-30-1853-01A-02W-0699-08.6_gdc_realn" NA TRUE
"93" "C239.TCGA-30-1862-01A-02W-0699-08.6_gdc_realn" TRUE TRUE
"94" "C239.TCGA-30-1891-01A-01W-0699-08.3_gdc_realn" TRUE TRUE
"95" "C239.TCGA-31-1950-01A-01W-0699-08.3_gdc_realn" TRUE TRUE
"96" "C239.TCGA-31-1953-01A-01W-0699-08.3_gdc_realn" TRUE TRUE
"97" "C239.TCGA-31-1959-01A-01W-0699-08.4_gdc_realn" TRUE TRUE
"98" "C239.TCGA-57-1992-01A-01W-0699-08.5_gdc_realn" TRUE TRUE
"99" "C239.TCGA-57-1993-01A-01W-0699-08.5_gdc_realn" TRUE TRUE
"100" "C239.TCGA-57-1994-01A-01W-0894-08.4_gdc_realn" TRUE TRUE
"101" "C239.TCGA-59-2348-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
"102" "C239.TCGA-59-2348-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"103" "C239.TCGA-59-2349-01A-01W-0799-08.4_gdc_realn" FALSE FALSE
"104" "C239.TCGA-59-2350-01A-01W-0799-08.4_gdc_realn" TRUE TRUE
"105" "C239.TCGA-59-2351-01A-01W-0799-08.4_gdc_realn" TRUE TRUE
"106" "C239.TCGA-59-2352-01A-01W-0799-08.4_gdc_realn" TRUE TRUE
"107" "C239.TCGA-59-2354-01A-01W-0799-08.3_gdc_realn" TRUE TRUE
"108" "C239.TCGA-59-2355-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"109" "C239.TCGA-59-2363-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"110" "C239.TCGA-61-1728-01A-01W-0699-08.4_gdc_realn" TRUE TRUE
