"","gene_name","qglobal_cv_tumorOnly","qglobal_cv_matchingN"
"1","A1BG",0.999998460995664,0.999999766486908
"2","A1CF",0.999998460995664,0.999999766486908
"3","A2M",0.999998460995664,0.999999766486908
"4","A2ML1",0.999998460995664,0.999999766486908
"5","A3GALT2",0.999998460995664,0.999999766486908
"6","A4GALT",0.999998460995664,0.999999766486908
"7","A4GNT",0.999998460995664,0.999999766486908
"8","AAAS",0.999998460995664,0.999999766486908
"9","AACS",0.999998460995664,0.999999766486908
"10","AADAC",0.999998460995664,0.999999766486908
"11","AADACL2",0.999998460995664,0.999999766486908
"12","AADACL3",0.999998460995664,0.999999766486908
"13","AADACL4",0.999998460995664,0.999999766486908
"14","AADAT",0.999998460995664,0.999999766486908
"15","AAGAB",0.999998460995664,0.999999766486908
"16","AAK1",0.999998460995664,0.999999766486908
"17","AAMDC",0.999998460995664,0.999999766486908
"18","AAMP",0.999998460995664,0.999999766486908
"19","AANAT",0.999998460995664,0.999999766486908
"20","AAR2",0.999998460995664,0.999999766486908
"21","AARD",0.999998460995664,0.999999766486908
"22","AARS",0.999998460995664,0.999999766486908
"23","AARS2",0.999998460995664,0.999999766486908
"24","AARSD1",0.999998460995664,0.999999766486908
"25","AASDH",0.999998460995664,0.999999766486908
"26","AASDHPPT",0.999998460995664,0.999999766486908
"27","AASS",0.999998460995664,0.999999766486908
"28","AATF",0.999998460995664,0.999999766486908
"29","AATK",0.999998460995664,0.999999766486908
"30","ABAT",0.999998460995664,0.999999766486908
"31","ABCA1",0.999998460995664,0.999999766486908
"32","ABCA10",0.999998460995664,0.999999766486908
"33","ABCA12",0.999998460995664,0.999999766486908
"34","ABCA13",0.999998460995664,0.999999766486908
"35","ABCA2",0.999998460995664,0.999999766486908
"36","ABCA3",0.999998460995664,0.999999766486908
"37","ABCA4",0.999998460995664,0.999999766486908
"38","ABCA5",0.999998460995664,0.999999766486908
"39","ABCA6",0.999998460995664,0.999999766486908
"40","ABCA7",0.999998460995664,0.999999766486908
"41","ABCA8",0.999998460995664,0.999999766486908
"42","ABCA9",0.999998460995664,0.999999766486908
"43","ABCB1",0.999998460995664,0.999999766486908
"44","ABCB10",0.999998460995664,0.999999766486908
"45","ABCB11",0.999998460995664,0.999999766486908
"46","ABCB4",0.999998460995664,0.999999766486908
"47","ABCB5",0.999998460995664,0.999999766486908
"48","ABCB6",0.999998460995664,0.999999766486908
"49","ABCB7",0.999998460995664,0.999999766486908
"50","ABCB8",0.999998460995664,0.999999766486908
"51","ABCB9",0.999998460995664,0.999999766486908
"52","ABCC1",0.999998460995664,0.999999766486908
"53","ABCC10",0.999998460995664,0.999999766486908
"54","ABCC11",0.999998460995664,0.999999766486908
"55","ABCC12",0.999998460995664,0.999999766486908
"56","ABCC2",0.999998460995664,0.999999766486908
"57","ABCC3",0.999998460995664,0.999999766486908
"58","ABCC4",0.999998460995664,0.999999766486908
"59","ABCC5",0.999998460995664,0.999999766486908
"60","ABCC6",0.999998460995664,0.999999766486908
"61","ABCC8",0.999998460995664,0.999999766486908
"62","ABCC9",0.999998460995664,0.999999766486908
"63","ABCD1",0.999998460995664,0.999999766486908
"64","ABCD2",0.999998460995664,0.999999766486908
"65","ABCD3",0.999998460995664,0.999999766486908
"66","ABCD4",0.999998460995664,0.999999766486908
"67","ABCE1",0.999998460995664,0.999999766486908
"68","ABCF1",0.999998460995664,0.999999766486908
"69","ABCF2",0.999998460995664,0.999999766486908
"70","ABCF3",0.999998460995664,0.999999766486908
"71","ABCG1",0.999998460995664,0.999999766486908
"72","ABCG2",0.999998460995664,0.999999766486908
"73","ABCG4",0.999998460995664,0.999999766486908
"74","ABCG5",0.999998460995664,0.999999766486908
"75","ABCG8",0.999998460995664,0.999999766486908
"76","ABHD1",0.999998460995664,0.999999766486908
"77","ABHD10",0.999998460995664,0.999999766486908
"78","ABHD11",0.999998460995664,0.999999766486908
"79","ABHD12",0.999998460995664,0.999999766486908
"80","ABHD12B",0.999998460995664,0.999999766486908
"81","ABHD13",0.999998460995664,0.999999766486908
"82","ABHD14A",0.999998460995664,0.999999766486908
"83","ABHD14A-ACY1",0.999998460995664,0.999999766486908
"84","ABHD14B",0.999998460995664,0.999999766486908
"85","ABHD15",0.999998460995664,0.999999766486908
"86","ABHD16A",0.999998460995664,0.999999766486908
"87","ABHD16B",0.999998460995664,0.999999766486908
"88","ABHD17A",0.999998460995664,0.999999766486908
"89","ABHD17B",0.999998460995664,0.999999766486908
"90","ABHD17C",0.999998460995664,0.999999766486908
"91","ABHD18",0.999998460995664,0.999999766486908
"92","ABHD2",0.999998460995664,0.999999766486908
"93","ABHD3",0.999998460995664,0.999999766486908
"94","ABHD4",0.999998460995664,0.999999766486908
"95","ABHD5",0.999998460995664,0.999999766486908
"96","ABHD6",0.999998460995664,0.999999766486908
"97","ABHD8",0.999998460995664,0.999999766486908
"98","ABI1",0.999998460995664,0.999999766486908
"99","ABI2",0.999998460995664,0.999999766486908
"100","ABI3",0.999998460995664,0.999999766486908
"101","ABI3BP",0.999998460995664,0.999999766486908
"102","ABITRAM",0.999998460995664,0.999999766486908
"103","ABL1",0.999998460995664,0.999999766486908
"104","ABL2",0.999998460995664,0.999999766486908
"105","ABLIM1",0.999998460995664,0.999999766486908
"106","ABLIM2",0.999998460995664,0.999999766486908
"107","ABLIM3",0.999998460995664,0.999999766486908
"108","ABO",0.999998460995664,0.999999766486908
"109","ABR",0.999998460995664,0.999999766486908
"110","ABRA",0.999998460995664,0.999999766486908
"111","ABRACL",0.999998460995664,0.999999766486908
