"fullname" "Purity_ABS" "Ploidy_ABS" "Purity_PureCN" "Ploidy_PureCN"
"TCGA-49-4506-01A-01D" 0.25 2.67 0.23 1.66772016834114
"TCGA-49-4507-01A-01D" 0.35 2.69 0.31 2.82405228241045
"TCGA-49-4510-01A-01D" 0.64 3.38 0.52 3.56494552547116
"TCGA-49-4512-01A-21D" 0.32 4.56 0.43 2.28970701776082
"TCGA-49-4514-01A-21D" 0.35 1.79 0.34 1.7854591879331
"TCGA-49-6742-01A-11D" 0.49 3.61 0.43 3.62594886422682
"TCGA-49-6743-01A-11D" 0.27 2.96 0.27 2.88221798973924
"TCGA-49-6744-01A-11D" 0.37 1.9 0.28 2.21433416860014
"TCGA-49-6745-01A-11D" 0.24 3.83 0.2 1.89584364702773
"TCGA-49-6761-01A-31D" 0.29 3.19 0.31 3.02724519432702
"TCGA-49-6767-01A-11D" 0.43 3.24 0.37 3.42708136115861
"TCGA-49-AAQV-01A-11D" 0.25 1.94 0.28 1.97623784816852
"TCGA-49-AAR0-01A-21D" 0.51 1.63 0.35 1.66914100825051
"TCGA-49-AAR2-01A-11D" 0.69 1.9 0.66 1.89935940405333
"TCGA-49-AAR3-01A-11D" 0.32 1.71 0.16 1.76084833623497
"TCGA-49-AAR4-01A-12D" 0.22 1.84 0.16 1.92005877003036
"TCGA-49-AAR9-01A-21D" 0.75 2.06 0.73 2.10181613465247
"TCGA-49-AARE-01A-11D" 0.42 2.78 0.42 2.8769604271754
"TCGA-49-AARN-01A-21D" 0.43 1.84 0.33 1.93277835267971
"TCGA-49-AARO-01A-12D" 0.28 3.08 0.24 2.15776988418613
"TCGA-49-AARQ-01A-11D" 0.52 3.38 0.49 3.40645760048498
"TCGA-49-AARR-01A-11D" 0.64 2 0.57 1.99998072471911
"TCGA-4B-A93V-01A-11D" 0.62 2.67 0.6 2.68426392889024
"TCGA-50-5044-01A-21D" 0.23 2.05 0.23 2.03535237761768
"TCGA-50-5045-01A-01D" 0.22 2.22 0.16 2.18462462555532
"TCGA-50-5049-01A-01D" 0.26 1.92 0.17 2.10774248921789
"TCGA-50-5051-01A-21D" 0.59 2.96 0.54 3.07942624446598
"TCGA-50-5055-01A-01D" 0.13 2.12 0.3 2.08959712032493
"TCGA-50-5066-01A-01D" 0.27 2.06 0.22 1.89245668855069
"TCGA-50-5066-02A-11D" 0.41 4.36 0.55 2.51781245055225
"TCGA-50-5068-01A-01D" 0.24 2.91 0.24 1.68913939062505
"TCGA-50-5072-01A-21D" 0.4 2.55 0.3 2.29229556653539
"TCGA-50-5930-01A-11D" 0.95 2.08 0.34 2.12231643896044
"TCGA-50-5931-01A-11D" 0.86 1.92 0.69 3.8260275085549
"TCGA-50-5932-01A-11D" 0.84 1.81 0.83 1.81870067350266
"TCGA-50-5933-01A-11D" 0.3 2.82 0.29 2.9584201858173
"TCGA-50-5935-01A-11D" 0.39 5.81 0.52 3.17180182803763
"TCGA-50-5936-01A-11D" 0.6 1.64 0.39 3.28053103277249
"TCGA-50-5939-01A-11D" 0.38 1.75 0.3 1.78237947036812
"TCGA-50-5941-01A-11D" 0.27 3.12 0.29 2.47360729538286
"TCGA-50-5942-01A-21D" 0.69 1.95 0.7 1.95233064960465
"TCGA-50-5944-01A-11D" 0.57 3.33 0.55 3.32089422989264
"TCGA-50-5946-01A-11D" 0.75 2.63 0.45 2.90457004583551
"TCGA-50-5946-02A-11D" 0.9 2.6 0.84 2.57840721391489
"TCGA-50-6590-01A-12D" 0.25 2.93 0.2 2.29761959922361
"TCGA-50-6591-01A-11D" 0.9 4.67 0.43 2.67716303157798
"TCGA-50-6592-01A-11D" 0.28 2.38 0.23 2.35449699965747
"TCGA-50-6593-01A-11D" 0.31 2.94 0.31 2.80861905484103
"TCGA-50-6594-01A-11D" 0.6 3.61 0.62 3.58600837955379
"TCGA-50-6595-01A-12D" 0.22 2.43 0.15 1.84747146555214
"TCGA-50-6673-01A-11D" 0.35 3.74 0.4 2.15020164081685
"TCGA-50-7109-01A-11D" 0.44 2.86 0.46 2.9412919193166
"TCGA-50-8457-01A-11D" 0.6 2.03 0.16 2.12903661202906
"TCGA-50-8459-01A-11D" 0.29 1.9 0.3 1.91887751227132
"TCGA-50-8460-01A-11D" 0.42 1.93 0.4 1.92709732478285
"TCGA-53-7624-01A-11D" 0.69 3.02 0.62 2.99200587741676
"TCGA-53-7626-01A-12D" 0.42 1.79 0.28 1.78633314257284
"TCGA-53-7813-01A-11D" 0.36 3.5 0.37 3.44199649204523
"TCGA-53-A4EZ-01A-12D" 0.47 3.08 0.33 4.46466138907092
"TCGA-55-1595-01A-01D" 0.52 3.63 0.46 3.71908570279207
"TCGA-55-5899-01A-11D" 0.67 2.83 0.66 2.86948523651351
"TCGA-55-6543-01A-11D" 0.65 2.27 0.65 2.28530125357481
"TCGA-55-6642-01A-11D" 0.37 2.61 0.31 2.76451066461943
"TCGA-55-6712-01A-11D" 0.29 3.38 0.23 2.33532153095646
"TCGA-55-6968-01A-11D" 0.65 1.72 0.55 1.72306490365737
"TCGA-55-6969-01A-11D" 0.25 2.59 0.17 1.98543752199552
"TCGA-55-6970-01A-11D" 0.56 1.36 0.36 2.7317589687607
"TCGA-55-6971-01A-11D" 0.23 3.28 0.15 2.73654827743725
"TCGA-55-6972-01A-11D" 0.83 3.68 0.73 3.478965223099
"TCGA-55-6975-01A-11D" 0.46 1.69 0.33 1.76907193901545
"TCGA-55-6978-01A-11D" 0.26 2.07 0.21 2.26601621601937
"TCGA-55-6979-01A-11D" 0.33 1.73 0.23 1.83422592438631
"TCGA-55-6980-01A-11D" 0.31 2.18 0.24 2.24448382854862
"TCGA-55-6981-01A-11D" 0.26 3.4 0.21 2.5800259730702
