"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"215","TCGA-24-2262-01",0.7,2.02,0.75,1.98017231599568,0.74,1.98015912420353
"216","TCGA-24-2267-01",0.57,2.84,0.56,2.93194745580578,0.56,2.93158138288886
"217","TCGA-24-2271-01",0.68,1.88,0.68,1.86553222817314,0.67,1.86553587237081
"218","TCGA-24-2280-01",0.59,3.56,0.53,3.53590901006107,0.52,3.52426757593543
"219","TCGA-24-2281-01",0.5,3.4,0.5,3.62762901280855,0.5,3.63064751253302
"220","TCGA-24-2288-01",0.52,4.47,0.61,3.02042039790774,0.61,3.00110699818065
"221","TCGA-24-2289-01",0.61,2.54,0.59,2.50925131006267,0.58,2.55460780022204
"222","TCGA-24-2290-01",0.81,3.66,0.75,3.61889487790325,0.75,3.61892687528016
"223","TCGA-24-2293-01",0.39,2.81,0.55,2.5740738257325,0.55,2.54694193110637
"224","TCGA-24-2295-01",0.89,4.45,0.95,4.53383927836143,0.81,4.54532065807952
"225","TCGA-24-2298-01",0.72,2.69,0.72,2.58661622905576,0.72,2.58613289875525
"230","TCGA-25-1319-01",0.89,3.34,0.86,3.42428241976555,0.87,3.42536481802582
"235","TCGA-25-2042-01",0.5,1.88,0.51,2.8569556459839,0.47,2.90739735742315
"236","TCGA-25-2391-01",0.88,1.87,0.85,1.81781852779725,0.85,1.81773660892693
"237","TCGA-25-2392-01",0.59,4.71,0.64,4.64358039663623,0.61,4.66169098340216
"238","TCGA-25-2393-01",0.84,2.88,0.81,2.97899901363068,0.8,2.97889949249152
"239","TCGA-25-2396-01",0.86,3.07,0.8,3.15743858849656,0.81,3.15840212065801
"240","TCGA-25-2396-01",0.86,3.07,0.8,3.15743858849656,0.82,3.16780429651871
"241","TCGA-25-2396-01",0.86,3.07,0.81,3.16816577508027,0.81,3.15840212065801
"242","TCGA-25-2396-01",0.86,3.07,0.81,3.16816577508027,0.82,3.16780429651871
"243","TCGA-25-2397-01",0.91,1.98,0.87,1.96502525640998,0.87,1.96520077193796
"244","TCGA-25-2397-01",0.91,1.98,0.87,1.96502525640998,0.88,1.966211830399
"245","TCGA-25-2397-01",0.91,1.98,0.88,1.96661381516071,0.87,1.96520077193796
"246","TCGA-25-2397-01",0.91,1.98,0.88,1.96661381516071,0.88,1.966211830399
"247","TCGA-25-2398-01",0.6,4.21,0.57,4.10804040515669,0.58,4.1375783492934
"248","TCGA-25-2398-01",0.6,4.21,0.57,4.10804040515669,0.56,4.15041208154459
"249","TCGA-25-2398-01",0.6,4.21,0.56,4.1537630005883,0.58,4.1375783492934
"250","TCGA-25-2398-01",0.6,4.21,0.56,4.1537630005883,0.56,4.15041208154459
"251","TCGA-25-2399-01",0.84,1.94,0.76,1.90771351056389,0.76,1.90770615749717
"252","TCGA-25-2400-01",0.83,3.72,0.72,4.05279519472174,0.72,4.05696553667785
"253","TCGA-25-2401-01",0.62,1.93,0.59,1.92308483265253,0.59,1.92324089752535
"254","TCGA-25-2404-01",0.63,3.04,0.59,3.07020480945672,0.58,3.07007471119939
"290","TCGA-29-2427-01",0.69,1.8,0.71,1.80465586496932,0.71,1.80653702845693
