"","SampleId","Purity_ABS","Ploidy_ABS","Purity_PCN_t","Ploidy_PCN_t","Purity_PCN_p","Ploidy_PCN_p","Purity_FACETS","Ploidy_FACETS","Sample"
"57","TCGA-23-2081-01",0.91,1.87,0.8,1.83142524583486,0.8,1.83162098747944,0.812451747860261,1.91194726774758,"OV"
"58","TCGA-23-2084-01",0.69,3.25,0.75,2.77407302663873,0.75,2.77407659486112,0.661682684654028,1.75732874361495,"OV"
"59","TCGA-24-0980-01",0.73,1.88,0.74,1.93302045264695,0.74,1.93248681784543,0.743465785610323,2.01971907267728,"OV"
"60","TCGA-24-0982-01",0.75,2.86,0.71,2.75017628456391,0.71,2.75593340253546,0.720203915491051,3.05586803310874,"OV"
"61","TCGA-24-1103-01",0.96,1.88,0.92,1.8870584607902,0.93,1.88698573056648,0.902471007789679,1.95618796943903,"OV"
"62","TCGA-24-1104-01",0.72,1.96,0.64,1.96371385690804,0.64,1.96349547407487,0.478888584907902,4.23652134726149,"OV"
"63","TCGA-24-1413-01",0.93,1.76,0.84,3.37220565198226,0.85,3.37238501325338,0.849493468104463,3.50433608894779,"OV"
"64","TCGA-24-1416-01",0.82,3.7,0.8,3.68761755068432,0.8,3.68739922312201,0.878764025123132,2.01088517175304,"OV"
"65","TCGA-24-1417-01",0.69,3.05,0.64,3.12441040916664,0.65,3.12679694229491,0.637397841279588,3.23011993544302,"OV"
"66","TCGA-24-1418-01",0.77,3.08,0.72,2.98797607614753,0.72,2.98720947712076,0.719592555171824,2.94837177582907,"OV"
"67","TCGA-24-1424-01",0.76,4.1,0.68,4.19524490446502,0.68,4.19383746915618,0.742038669330272,4.42540638387069,"OV"
"68","TCGA-24-1425-01",0.66,1.83,0.61,1.80625474616503,0.6,1.81332667891769,0.51780093318225,2.67663934604538,"OV"
"69","TCGA-24-1427-01",0.57,3.09,0.57,3.08417866814628,0.57,3.05961198206869,0.559107749829524,3.05856110499046,"OV"
"70","TCGA-24-1428-01",0.82,3.3,0.78,3.37917196134509,0.78,3.37968635343127,0.840427224616169,3.31437696159341,"OV"
"71","TCGA-24-1435-01",0.71,3.76,0.67,3.8134732726867,0.67,3.81278182042065,0.631491279800745,4.02040019295697,"OV"
"72","TCGA-24-1436-01",0.78,2.61,0.75,2.58217908603823,0.74,2.58990873885581,0.721319629203018,2.87269929307041,"OV"
"73","TCGA-24-1463-01",0.84,1.75,0.83,1.70692620676487,0.83,1.7068513333421,0.718971231586415,3.5118178445245,"OV"
"74","TCGA-24-1464-01",0.85,1.91,0.64,3.72133414896128,0.64,3.72361114388765,0.645459998915461,3.95598109030453,"OV"
"75","TCGA-24-1469-01",0.87,3.26,0.42,3.05576607718695,0.86,4.88197191846062,0.838727681390084,3.15956599594272,"OV"
"76","TCGA-24-1470-01",0.84,1.95,0.82,1.9284695373332,0.82,1.92831481396509,0.821944890872783,1.93902472091288,"OV"
"77","TCGA-24-1549-01",0.85,3.69,0.78,3.63169003485672,0.77,3.63238221194311,0.776006779162676,3.82666159986866,"OV"
"78","TCGA-24-1562-01",0.84,1.81,0.79,1.77471969799475,0.79,1.77491064187569,0.806258246322037,1.84787017646101,"OV"
"79","TCGA-24-1563-01",0.85,2,0.72,2.01658291101889,0.71,2.01668782561108,0.668467907159198,1.95836415255791,"OV"
"80","TCGA-24-1616-01",0.8,3.44,0.82,3.42214992925143,0.83,3.42116264884662,0.811122540190958,3.59969678682057,"OV"
"81","TCGA-24-1842-01",0.68,3.59,0.66,3.52586889519941,0.66,3.52517576799282,0.627985823109444,3.80759117548888,"OV"
"82","TCGA-24-1843-01",0.77,2.8,0.72,2.81498255206727,0.72,2.80929748976716,0.719999721310809,2.85294421014669,"OV"
"83","TCGA-24-1844-01",0.86,3.47,0.52,4.1360205667313,0.52,4.11569550824278,0.77932313079878,3.64184946003966,"OV"
"84","TCGA-24-1845-01",0.86,3.44,0.88,3.47461446186778,0.89,3.49125014896582,0.8727916388729,2.33965765058286,"OV"
"85","TCGA-24-1846-01",0.9,1.7,0.89,1.74189700917127,0.91,1.74083572148235,0.898491801908641,1.77798134644948,"OV"
"86","TCGA-24-1847-01",0.54,3.36,0.46,3.28003252875511,0.46,3.27900196668979,0.457349231214825,3.55393634006521,"OV"
"87","TCGA-24-1850-01",0.77,2.7,0.71,2.71839805329147,0.71,2.67689030503224,0.714255953093826,2.92562130339583,"OV"
"88","TCGA-24-1927-01",0.82,1.91,0.73,1.907472145364,0.73,1.91305884409769,0.735650035114233,2.00230977081325,"OV"
"89","TCGA-24-2019-01",0.85,2.91,0.72,3.00775194516034,0.72,3.00765740129788,0.767405455262668,2.97775747656207,"OV"
"90","TCGA-24-2024-01",0.91,1.79,0.85,1.75852361148133,0.85,1.75852361148133,0.845727167476562,1.86427107310807,"OV"
"91","TCGA-24-2030-01",0.86,3.05,0.79,2.91943066194816,0.79,2.92658156797595,0.769797252237896,3.20333610328102,"OV"
"92","TCGA-24-2033-01",0.82,3.32,0.77,3.22311962862186,0.77,3.21617903631189,0.728757512707702,3.31051198902284,"OV"
"93","TCGA-24-2035-01",0.61,1.98,0.61,1.94526161878793,0.61,1.94555471888833,0.624965792021878,2.33954106076928,"OV"
"94","TCGA-24-2038-01",0.97,2.22,0.91,2.20274077900559,0.91,2.20273728965369,0.886503324599544,2.32284210434385,"OV"
"95","TCGA-24-2254-01",0.81,1.72,0.78,1.74921891951197,0.78,1.74924272895409,0.799394705881914,1.77219687016231,"OV"
"96","TCGA-24-2260-01",0.84,3.15,0.78,3.17605682967589,0.77,3.17474661752302,0.816866439666188,3.24941619896999,"OV"
"97","TCGA-24-2261-01",0.74,2.77,0.68,2.84969896631562,0.68,2.8497167126335,0.698250892733839,3.04830692521142,"OV"
"98","TCGA-24-2262-01",0.7,2.02,0.75,1.98017231599568,0.74,1.98015912420353,0.728653041989978,2.04635980728614,"OV"
"99","TCGA-24-2267-01",0.57,2.84,0.56,2.93194745580578,0.56,2.93158138288886,0.539807363555825,2.96087874771803,"OV"
"100","TCGA-24-2271-01",0.68,1.88,0.68,1.86553222817314,0.67,1.86553587237081,0.564537470607243,4.09570681239802,"OV"
"101","TCGA-24-2280-01",0.59,3.56,0.53,3.53590901006107,0.52,3.52426757593543,0.509209075698255,2.23065351384793,"OV"
"102","TCGA-24-2281-01",0.5,3.4,0.5,3.62762901280855,0.5,3.63064751253302,0.465344955643677,4.03565088852851,"OV"
"103","TCGA-24-2288-01",0.52,4.47,0.61,3.02042039790774,0.61,3.00110699818065,0.585539797824649,3.59666199049405,"OV"
"104","TCGA-24-2289-01",0.61,2.54,0.59,2.50925131006267,0.58,2.55460780022204,0.461114264235453,5.50148567621036,"OV"
"105","TCGA-24-2290-01",0.81,3.66,0.75,3.61889487790325,0.75,3.61892687528016,0.789832607492912,3.55738179137933,"OV"
"106","TCGA-24-2293-01",0.39,2.81,0.55,2.5740738257325,0.55,2.54694193110637,0.536495608278742,2.42733192603104,"OV"
"107","TCGA-24-2295-01",0.89,4.45,0.95,4.53383927836143,0.81,4.54532065807952,0.884277558315735,4.61382818668852,"OV"
"108","TCGA-24-2298-01",0.72,2.69,0.72,2.58661622905576,0.72,2.58613289875525,0.686415608864121,2.60265628750993,"OV"
"109","TCGA-25-1315-01",0.94,1.91,0.85,1.90280049143875,0.81,1.90288205317205,0.70018939824746,4.14722411976863,"OV"
"110","TCGA-25-1319-01",0.89,3.34,0.86,3.42428241976555,0.87,3.42536481802582,0.802260850083662,3.45972845202265,"OV"
"111","TCGA-25-1322-01",0.75,1.89,0.68,1.89613737933031,0.71,1.89895025024494,0.57552664186256,4.23682244170044,"OV"
"112","TCGA-25-1323-01",0.73,3.32,0.47,3.74088128967403,0.68,4.18573174857391,0.659229720024936,3.48834690119878,"OV"
"113","TCGA-25-2042-01",0.5,1.88,0.51,2.8569556459839,0.47,2.90739735742315,0.535513377825601,2.45542201702534,"OV"
"114","TCGA-25-2391-01",0.88,1.87,0.85,1.81781852779725,0.85,1.81773660892693,0.855699766150007,1.83605618616882,"OV"
"115","TCGA-25-2392-01",0.59,4.71,0.64,4.64358039663623,0.61,4.66169098340216,0.531088570100201,4.58107323861517,"OV"
"116","TCGA-25-2393-01",0.84,2.88,0.81,2.97899901363068,0.8,2.97889949249152,0.821166099445232,2.9278427591369,"OV"
"117","TCGA-25-2399-01",0.84,1.94,0.76,1.90771351056389,0.76,1.90770615749717,0.588364741675618,3.97481818791071,"OV"
"118","TCGA-25-2400-01",0.83,3.72,0.72,4.05279519472174,0.72,4.05696553667785,0.766638859021564,3.99077524209031,"OV"
"119","TCGA-25-2401-01",0.62,1.93,0.59,1.92308483265253,0.59,1.92324089752535,0.625768670543031,1.97358921210706,"OV"
"120","TCGA-25-2404-01",0.63,3.04,0.59,3.07020480945672,0.58,3.07007471119939,0.577378041757448,3.26642668300259,"OV"
"121","TCGA-29-1690-01",0.79,2.08,0.45,3.16120983948951,0.46,3.15931321975944,0.800498353333209,1.56870806483277,"OV"
"122","TCGA-29-1691-01",0.91,3.12,0.84,3.15380680750837,0.85,3.15347021533155,0.814713302894324,3.48715040607004,"OV"
"123","TCGA-29-1693-01",0.77,3.61,0.7,3.5646670468977,0.7,3.56503000311525,0.665043222734465,4.12095271222953,"OV"
"124","TCGA-29-1694-01",0.79,1.83,0.74,1.75646446435915,0.73,1.76957536857645,0.68807576740661,1.90169598666574,"OV"
"125","TCGA-29-1695-01",0.66,3.41,0.6,3.33469108460599,0.6,3.33382080520414,0.617056891193162,3.27670196624603,"OV"
"126","TCGA-29-1696-01",0.95,1.94,0.9,1.96063924539975,0.91,1.9606959156317,0.905405305318763,2.00839285690076,"OV"
"127","TCGA-29-1697-01",0.98,1.71,0.91,1.66927085857416,0.93,1.66924514747677,0.841919178689905,3.3112425325972,"OV"
"128","TCGA-29-1698-01",0.6,5.89,0.61,3.34464863207323,0.61,3.34627621135669,0.567620709526002,3.90078825023769,"OV"
"129","TCGA-29-1699-01",0.61,5.61,0.6,5.49851805716572,0.6,5.49782817907746,0.363547008017408,3.56326457222322,"OV"
"130","TCGA-29-1701-01",0.71,3.35,0.55,3.47275383667712,0.55,3.47162032524845,0.598781385603767,3.59694388020447,"OV"
"131","TCGA-29-1702-01",0.97,3.41,0.87,3.47484513161916,0.88,3.47948404982996,0.910523042797774,3.38758177499415,"OV"
"132","TCGA-29-1703-01",0.93,2.85,0.91,2.79488218806546,0.91,2.79485929412591,0.89011114240121,2.75092980178837,"OV"
"133","TCGA-29-1705-01",0.79,1.89,0.73,1.8585979124171,0.73,1.85855868529192,0.737742773972461,1.86357225024077,"OV"
"134","TCGA-29-1707-01",0.88,1.88,0.77,3.74295855214306,0.78,3.75306068268569,0.822371002382078,2.03513734298801,"OV"
"135","TCGA-29-1711-01",0.84,1.93,0.79,1.95037013140988,0.79,1.95021126334835,0.796393277421716,1.96460597999752,"OV"
"136","TCGA-29-1761-01",0.81,2.69,0.6,3.14805305747809,0.52,3.37212313502484,0.637065420167297,3.97309177945067,"OV"
"137","TCGA-29-1762-01",0.89,1.71,0.85,1.72865907329152,0.85,1.72863560274542,0.855164479360601,1.84473341865406,"OV"
"138","TCGA-29-1763-01",0.74,3.02,0.69,2.85688459497404,0.6,3.06629453121611,0.730653897853826,2.62407320954059,"OV"
"139","TCGA-29-1764-01",0.58,3.48,0.49,3.5163185193891,0.49,3.51252740183767,0.490007703789365,3.61202614087466,"OV"
"140","TCGA-29-1766-01",0.55,4.24,0.44,4.12929444536987,0.44,4.1391633529384,0.554589224953505,3.87479990075229,"OV"
"141","TCGA-29-1768-01",0.54,1.85,0.52,1.86101596845519,0.51,1.86214332230282,0.525983808885956,2.00762134082701,"OV"
"142","TCGA-29-1769-01",0.88,1.87,0.62,4.49091559568505,0.59,4.56943378610189,0.729253161324502,3.77451169178337,"OV"
"143","TCGA-29-1770-01",0.73,3.09,0.64,3.14236137053735,0.65,3.14152320255648,0.64839028041969,3.36258718706752,"OV"
"144","TCGA-29-1774-01",0.86,2.22,0.67,4.32778228934592,0.67,4.34024356859953,0.783979168022501,2.10877966625033,"OV"
"145","TCGA-29-1775-01",0.91,3.3,0.81,3.3314781098805,0.83,3.32849524967098,0.810722388186128,3.39409136451306,"OV"
"146","TCGA-29-1776-01",0.88,1.92,0.88,1.9043316065841,0.88,1.90440779062681,0.880219013519668,1.94396759172067,"OV"
"147","TCGA-29-1777-01",0.81,1.82,0.77,1.79205778836109,0.77,1.7922856348869,0.62579382091968,3.6524793052771,"OV"
"148","TCGA-29-1778-01",0.7,4.67,0.61,4.61507370688612,0.61,4.61284363254428,0.666164444855925,4.51174222762307,"OV"
"149","TCGA-29-1781-01",0.75,1.77,0.67,1.74705893429478,0.67,1.74711077379544,0.700671161047697,1.77567590216912,"OV"
"150","TCGA-29-1783-01",0.71,3.12,0.58,3.2220699674773,0.58,3.22285852184063,0.693602200733552,3.23988172916077,"OV"
"151","TCGA-29-1784-01",0.72,3.07,0.55,3.50156985746041,0.58,3.3295019642351,0.603350421833668,3.47853651560435,"OV"
"152","TCGA-29-1785-01",0.88,1.94,0.85,1.88679520979456,0.85,1.88684627356273,0.83904429329329,2.02660568590279,"OV"
"153","TCGA-29-2427-01",0.69,1.8,0.71,1.80465586496932,0.71,1.80653702845693,0.683696575086692,1.70275885658945,"OV"
"154","TCGA-30-1714-01",0.9,3.18,0.85,3.13773562981522,0.85,3.13801873026081,0.777903512168893,3.33212458378105,"OV"
"155","TCGA-30-1718-01",0.59,5.1,0.48,3.37595646679502,0.48,3.6434937139871,0.606238929166722,3.21244149722782,"OV"
"156","TCGA-30-1853-01",1,2.58,0.92,2.52491197773732,0.93,2.52488278662518,0.860191153302777,2.56670177942326,"OV"
"157","TCGA-30-1855-01",0.7,2.73,0.6,2.77084547184267,0.61,2.73235247968427,0.635519147432411,2.72804849773466,"OV"
"158","TCGA-30-1856-01",0.89,5.09,0.44,2.86352257665885,0.44,2.87167063017659,0.444900266226947,3.03218947414875,"OV"
"159","TCGA-30-1857-01",0.71,1.93,0.67,1.90769218914989,0.67,1.9076579738235,0.67778541876031,1.95312352482919,"OV"
"160","TCGA-30-1862-01",0.73,2.51,0.68,2.46686418213225,0.67,2.46666561129885,0.693494245285234,2.4446091320566,"OV"
"161","TCGA-30-1891-01",0.78,1.86,0.72,1.83326742954018,0.72,1.83366705158939,0.718714979534366,1.84086907885046,"OV"
"162","TCGA-31-1950-01",0.48,3.13,0.34,3.00481077381942,0.28,4.46267319205786,0.306113540492874,4.6992036990814,"OV"
"163","TCGA-31-1953-01",0.64,3.77,0.58,3.64587574533231,0.58,3.64585341182319,0.550914342998632,3.60847271883671,"OV"
"164","TCGA-31-1959-01",0.66,1.58,0.4,3.18657948063945,0.39,3.18696587406406,0.414423338258141,3.4047243878338,"OV"
"165","TCGA-57-1586-01",0.84,2.59,0.76,2.58045909596072,0.75,2.57908181236883,0.70738978086505,2.55898897622919,"OV"
"166","TCGA-57-1992-01",0.87,1.65,0.67,3.23849326612524,0.67,3.2394450144215,0.752943737676077,2.3203065946433,"OV"
"167","TCGA-57-1993-01",0.82,4.12,0.71,4.27540644650021,0.71,4.27661484259434,0.713697860199926,4.80125312515888,"OV"
"168","TCGA-57-1994-01",0.75,3.29,0.6,3.49715188341775,0.59,3.49848887226081,0.649354159639363,3.76811536801738,"OV"
"169","TCGA-59-2350-01",0.84,1.71,0.83,1.68266777184634,0.83,1.68270550163088,0.828787431306836,1.72300124293514,"OV"
"170","TCGA-59-2351-01",0.5,3,0.51,2.97710470877177,0.5,2.97734601266867,0.468135287844326,2.93726977100486,"OV"
"171","TCGA-59-2352-01",0.67,3.59,0.64,3.5663347216553,0.64,3.55715331951068,0.620753616517304,3.84288622387515,"OV"
"172","TCGA-59-2354-01",0.64,1.84,0.64,1.84750360913619,0.64,1.84755088473091,0.640354466467986,1.89359208889222,"OV"
"173","TCGA-59-2355-01",0.79,1.85,0.73,1.88436453479082,0.73,1.88450802075117,0.527372297625961,4.25613882323586,"OV"
"174","TCGA-59-2363-01",0.92,1.73,0.9,1.69254125754375,0.91,1.69254611916952,0.906066041739824,1.67088058200563,"OV"
"175","TCGA-61-1722-01",0.55,2.45,0.55,2.63463263195684,0.55,2.65451605247263,0.499051974865855,2.45798985426487,"OV"
"176","TCGA-61-1725-01",0.83,1.91,0.78,1.92511262647955,0.79,1.92520725594851,0.596253931216073,4.47630632991826,"OV"
"177","TCGA-61-1727-01",0.56,2.8,0.54,2.83539014452974,0.54,2.83487378713785,0.518799414144514,2.76703211642036,"OV"
"178","TCGA-61-1728-01",0.86,3.53,0.39,3.21255967028143,0.79,4.48845864195795,0.723075969943949,4.76138141810464,"OV"
"179","TCGA-61-1730-01",0.8,3.41,0.8,3.56717307241464,0.8,3.56710158510579,0.831295073963989,3.7979766420908,"OV"
"180","TCGA-61-1733-01",0.84,2.75,0.82,2.66749480391501,0.82,2.66714766668465,0.814190391675057,2.80524536439048,"OV"
"181","TCGA-61-1736-01",0.81,1.85,0.78,1.79576427416746,0.78,1.79583722150321,0.763380230203533,2.21300791857737,"OV"
"182","TCGA-61-1737-01",0.76,1.89,0.65,1.84647928028725,0.61,1.86462899372695,0.590095816098039,2.27871955832112,"OV"
"183","TCGA-61-1738-01",0.93,1.96,0.72,3.66287634071763,0.73,3.65975968550269,0.86067235290992,1.92301126981735,"OV"
"184","TCGA-61-1740-01",0.81,1.77,0.61,3.6327904388242,0.61,3.63085817704686,0.637929269353085,3.79136656407034,"OV"
"185","TCGA-61-1741-01",0.82,3.54,0.76,3.50663406784841,0.76,3.51009026416417,0.788859429087232,3.69115773144261,"OV"
"186","TCGA-61-1895-01",0.65,1.79,0.63,1.80219745730619,0.64,1.80051514827492,0.62880344725222,1.7755557391106,"OV"
"187","TCGA-61-1899-01",0.78,6.21,0.67,3.47796391949502,0.66,3.52275059032348,0.777922034965195,3.20766675111925,"OV"
"188","TCGA-61-1900-01",0.9,2.08,0.88,2.05425949336064,0.88,2.05490119255365,0.878080749035355,2.10552465718985,"OV"
"189","TCGA-61-1901-01",0.83,1.81,0.74,1.8459784971674,0.74,1.846527512412,0.711966199498828,1.75102096628739,"OV"
"190","TCGA-61-1903-01",0.86,1.94,0.86,1.90053331437266,0.87,1.90081408192673,0.899356940712545,2.04856479071029,"OV"
"191","TCGA-61-1904-01",0.58,3.88,0.58,3.91560813275833,0.58,3.91754508059089,0.613038874745849,4.19401998921706,"OV"
"192","TCGA-61-1906-01",0.79,3.25,0.73,3.16780473878255,0.74,3.16149796599366,0.731794121191569,3.16907117800265,"OV"
"193","TCGA-61-1907-01",0.76,3.32,0.72,3.28662183970726,0.72,3.28833044149555,0.74145812513201,3.27365913202387,"OV"
"194","TCGA-61-1910-01",0.97,2.07,0.95,2.00980055105015,0.95,2.00998820044625,0.884237667845743,2.05802619713505,"OV"
"195","TCGA-61-1911-01",0.72,2.32,0.67,2.25151673858969,0.67,2.25107700324569,0.680450619730035,2.33896537215202,"OV"
"196","TCGA-61-1913-01",0.89,1.8,0.87,1.839514285804,0.87,1.84046103447287,0.850980589499541,1.90104587332036,"OV"
"197","TCGA-61-1914-01",0.76,1.84,0.51,3.64260389900607,0.49,3.64428017058838,0.548427651043112,3.35427415533283,"OV"
"198","TCGA-61-1919-01",0.66,2.91,0.5,2.87013085773987,0.4,3.27163532599213,0.2947808200632,7.17282738324812,"OV"
"199","TCGA-61-1995-01",0.83,1.68,0.8,1.64283880954785,0.8,1.64283789368754,0.777937820488695,1.736248292186,"OV"
"200","TCGA-61-1998-01",0.72,1.95,0.39,2.73732702418243,0.46,3.73835458657535,0.660010554386757,2.36286276761754,"OV"
"201","TCGA-61-2000-01",0.92,2.15,0.6,3.03289762080493,0.61,3.02830367023089,0.810131252031606,2.43185120571812,"OV"
