"","SampleId","HLAA_major_ABS","HLAA_minor_ABS","HLAA_LOH_ABS","HLAB_major_ABS","HLAB_minor_ABS","HLAB_LOH_ABS","HLAC_major_ABS","HLAC_minor_ABS","HLAC_LOH_ABS","TP53_major_ABS","TP53_minor_ABS","TP53_LOH_ABS","HLAA_major_PCN","HLAA_minor_PCN","HLAA_LOH_PCN","HLAB_major_PCN","HLAB_minor_PCN","HLAB_LOH_PCN","HLAC_major_PCN","HLAC_minor_PCN","HLAC_LOH_PCN","TP53_major_PCN","TP53_minor_PCN","TP53_LOH_PCN","Kit","Sample"
"31","TCGA-24-2267-01",4,0,TRUE,NA,NA,NA,NA,NA,NA,2,0,TRUE,4,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070","OV"
"32","TCGA-24-2271-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070","OV"
"33","TCGA-24-2280-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,2,0,TRUE,4,2,FALSE,4,2,FALSE,4,2,FALSE,2,0,TRUE,"931070","OV"
"34","TCGA-24-2281-01",5,1,FALSE,5,1,FALSE,5,1,FALSE,4,0,TRUE,5,1,FALSE,5,1,FALSE,5,1,FALSE,4,0,TRUE,"931070","OV"
"35","TCGA-24-2288-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,3,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"36","TCGA-24-2289-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,2,0,TRUE,"931070","OV"
"37","TCGA-24-2290-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"38","TCGA-24-2293-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,2,0,TRUE,"931070","OV"
"39","TCGA-24-2295-01",2,2,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"40","TCGA-24-2298-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"41","TCGA-25-1319-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"42","TCGA-25-2042-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,2,1,FALSE,3,1,FALSE,3,1,FALSE,2,0,TRUE,"931070","OV"
"43","TCGA-25-2391-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"44","TCGA-25-2392-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,4,0,TRUE,3,2,FALSE,4,2,FALSE,4,2,FALSE,4,0,TRUE,"931070","OV"
"45","TCGA-25-2393-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"46","TCGA-25-2399-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"47","TCGA-25-2400-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,0,TRUE,3,2,FALSE,3,2,FALSE,3,2,FALSE,6,0,TRUE,"931070","OV"
"48","TCGA-25-2401-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"931070","OV"
"49","TCGA-25-2404-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,"931070","OV"
"50","TCGA-25-2408-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,1,FALSE,"931070","OV"
"51","TCGA-25-2409-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"52","TCGA-29-2427-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"53","TCGA-30-1853-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,NA,NA,NA,"931070","OV"
"54","TCGA-30-1862-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,3,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,3,0,TRUE,"931070","OV"
"55","TCGA-30-1891-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070","OV"
"56","TCGA-31-1950-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070","OV"
