"","Purity","Mean.AUC.POSTERIOR.SOMATIC","Mean.AUC.AR","Mean.Difference"
"1","0.3",0.819,0.781,0.038
"2","0.3 ~ 0.4",0.89,0.893,-0.003
"3","0.4 ~ 0.5",0.888,0.887,0.002
"4","0.5 ~ 0.6",0.886,0.858,0.028
"5","0.6 ~ 0.7",0.851,0.809,0.042
"6","0.7 ~ 0.8",0.831,0.767,0.063
"7","0.8 ~ 0.9",0.751,0.718,0.033
"8","0.9",0.698,0.691,0.007
